algorithm,parameters,mean_latency_ms,p50_latency_ms,memory_kib
argon2id,"memory_kib=8192,time_cost=1,parallelism=1",6.910033333333334,6.910033333333334,8192
argon2id,"memory_kib=8192,time_cost=1,parallelism=2",6.683,6.683,8192
argon2id,"memory_kib=8192,time_cost=2,parallelism=1",10.058366666666666,10.058366666666666,8192
argon2id,"memory_kib=8192,time_cost=2,parallelism=2",9.9953,9.9953,8192
argon2id,"memory_kib=16384,time_cost=1,parallelism=1",12.755533333333332,12.755533333333332,16384
argon2id,"memory_kib=16384,time_cost=1,parallelism=2",12.765866666666668,12.765866666666668,16384
argon2id,"memory_kib=16384,time_cost=2,parallelism=1",20.848766666666666,20.848766666666666,16384
argon2id,"memory_kib=16384,time_cost=2,parallelism=2",21.439899999999998,21.439899999999998,16384
argon2id,"memory_kib=32768,time_cost=1,parallelism=1",25.838466666666665,25.838466666666665,32768
argon2id,"memory_kib=32768,time_cost=1,parallelism=2",25.881199999999996,25.881199999999996,32768
argon2id,"memory_kib=32768,time_cost=2,parallelism=1",43.5014,43.5014,32768
argon2id,"memory_kib=32768,time_cost=2,parallelism=2",47.1748,47.1748,32768
argon2id,"memory_kib=65536,time_cost=1,parallelism=1",59.28763333333333,59.28763333333333,65536
argon2id,"memory_kib=65536,time_cost=1,parallelism=2",60.84353333333333,60.84353333333333,65536
argon2id,"memory_kib=65536,time_cost=2,parallelism=1",95.31070000000001,95.31070000000001,65536
argon2id,"memory_kib=65536,time_cost=2,parallelism=2",93.02386666666666,93.02386666666666,65536
