Metric,Argon2id,Antech K1,Antech K2
RAM,64 MB,16 MB,16 MB
p50 latency,138.20 ms,108.00 ms,112.00 ms
p95 latency,142.50 ms,108.80 ms,112.80 ms
p99 latency,148.10 ms,108.80 ms,112.80 ms
CPU cycles,1850000,2100000,2150000
16-core attacker g/s,24.2 g/s,19.2 g/s,18.8 g/s
GPU attacker g/s,375.0 g/s [MODELED],7800.0 g/s [MODELED],6400.0 g/s [MODELED]
TMTO @50%,3.25x,4.00x,13.93x
Multi-target amortization,NO AMORTIZATION OBSERVED,NO AMORTIZATION OBSERVED,NO AMORTIZATION OBSERVED
Contention degradation,18.20%,6.48%,6.70%
