variant_id,target_hashes_count,per_hash_attacker_cost_units,work_amortization_factor
candidate-004-baseline,10,1.0,1.0
candidate-004-baseline,100,1.0,1.0
candidate-004-baseline,1000,1.0,1.0
candidate-004-baseline,1000000,1.0,1.0
candidate-004-opt-001,10,1.0,1.0
candidate-004-opt-001,100,1.0,1.0
candidate-004-opt-001,1000,1.0,1.0
candidate-004-opt-001,1000000,1.0,1.0
candidate-004-opt-002,10,1.0,1.0
candidate-004-opt-002,100,1.0,1.0
candidate-004-opt-002,1000,1.0,1.0
candidate-004-opt-002,1000000,1.0,1.0
candidate-004-opt-003,10,1.0,1.0
candidate-004-opt-003,100,1.0,1.0
candidate-004-opt-003,1000,1.0,1.0
candidate-004-opt-003,1000000,1.0,1.0
candidate-004-opt-004,10,1.0,1.0
candidate-004-opt-004,100,1.0,1.0
candidate-004-opt-004,1000,1.0,1.0
candidate-004-opt-004,1000000,1.0,1.0
