profile_name,concurrent_requests,admitted_requests,rejected_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,wall_clock_batch_ms,system_throughput_ops_per_sec,peak_kdf_ram_mb,bounded_ram_limit_mb,resource_exhaustion_prevented
Profile B (128MB Budget),1,1,0,12.5433,12.5433,12.5433,12.7308,78.54965909447952,128,128,true
Profile B (128MB Budget),2,2,0,14.0759,14.0759,14.0759,14.913400000000001,134.10758110155967,128,128,true
Profile B (128MB Budget),4,4,0,14.6471,15.272300000000001,15.272300000000001,16.3361,244.85648349361233,128,128,true
Profile B (128MB Budget),8,8,0,24.6875,25.991500000000002,25.991500000000002,29.1313,274.61870908610325,128,128,true
Profile B (128MB Budget),10,10,0,26.4599,44.3361,44.3361,44.9031,222.70177337422137,128,128,true
Profile B (128MB Budget),25,25,0,49.351800000000004,82.4435,90.041,90.1917,277.1873686824841,128,128,true
Profile B (128MB Budget),50,50,0,100.7585,173.083,178.1569,178.7587,279.70666602520606,128,128,true
Profile B (128MB Budget),100,100,0,195.4978,379.55060000000003,397.3271,397.7538,251.41180297963214,128,128,true
Profile B (128MB Budget),250,211,39,123.0027,502.16380000000004,523.9615,919.6115,229.444716600434,128,128,true
Profile B (128MB Budget),500,409,91,129.4142,501.2712,537.9535,1753.0157,233.3122287495771,128,128,true
Profile B (128MB Budget),1000,784,216,64.0919,502.3613,534.655,3390.6225,231.22597694081247,128,128,true
