algorithm,version,parameters,cpu,cores,ram_gib,os,iterations,warmup_iterations,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,latency_classification,requested_allocation_bytes,resident_memory_bytes,kdf_working_memory_bytes,ram_classification,bytes_read,bytes_written,estimated_bandwidth_gb_per_sec,cache_locality_tier,bandwidth_classification
scrypt,0.11.0,"N=1024,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,1.8247,1.8247,1.9900999999999998,1.9900999999999998,1.7669000000000001,1.9900999999999998,Measured,1048576,0,1048576,Estimated,1048576,1048576,0.3499157962627873,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=1024,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,3.4261,3.4261,3.4881,3.4881,3.3086,3.4881,Measured,1048576,0,1048576,Estimated,1048576,1048576,0.19105577728215362,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=1024,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,3.5694,3.5694,3.6695,3.6695,3.5255,3.6695,Measured,2097152,0,2097152,Estimated,2097152,2097152,0.3628859945747092,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=1024,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,7.0083,7.0083,7.0742,7.0742,6.6015,7.0742,Measured,2097152,0,2097152,Estimated,2097152,2097152,0.1888537033455811,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=4096,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,7.2889,7.2889,7.6857999999999995,7.6857999999999995,7.0469,7.6857999999999995,Measured,4194304,0,4194304,Estimated,4194304,4194304,0.3547653213208849,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=4096,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,14.0793,14.0793,14.6067,14.6067,13.9152,14.6067,Measured,4194304,0,4194304,Estimated,4194304,4194304,0.18338685295249896,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=4096,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,15.067,15.067,15.3081,15.3081,14.492899999999999,15.3081,Measured,8388608,0,8388608,Estimated,8388608,8388608,0.3482437371846304,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=4096,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,28.7046,28.7046,29.347,29.347,28.067899999999998,29.347,Measured,8388608,0,8388608,Estimated,8388608,8388608,0.1814339377260667,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=16384,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,29.8768,29.8768,30.5471,30.5471,29.7826,30.5471,Measured,16777216,0,16777216,Estimated,16777216,16777216,0.3464273638817602,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=16384,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,57.615,57.615,57.68729999999999,57.68729999999999,57.3245,57.68729999999999,Measured,16777216,0,16777216,Estimated,16777216,16777216,0.18102635280269344,L3 Cache Hit (256KB-16MB),Estimated
scrypt,0.11.0,"N=16384,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,59.7181,59.7181,60.0621,60.0621,59.2802,60.0621,Measured,33554432,0,33554432,Estimated,33554432,33554432,0.34904423311910393,DRAM Memory Bus (>16MB),Estimated
scrypt,0.11.0,"N=16384,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,115.2311,115.2311,115.7056,115.7056,114.4223,115.7056,Measured,33554432,0,33554432,Estimated,33554432,33554432,0.18097110542942274,DRAM Memory Bus (>16MB),Estimated
scrypt,0.11.0,"N=65536,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,125.7006,125.7006,134.6318,134.6318,124.99340000000001,134.6318,Measured,67108864,0,67108864,Estimated,67108864,67108864,0.3244008057596974,DRAM Memory Bus (>16MB),Estimated
scrypt,0.11.0,"N=65536,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,237.0537,237.0537,238.9595,238.9595,237.01520000000002,238.9595,Measured,67108864,0,67108864,Estimated,67108864,67108864,0.17530858518398426,DRAM Memory Bus (>16MB),Estimated
scrypt,0.11.0,"N=65536,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,258.883,258.883,276.57710000000003,276.57710000000003,258.46029999999996,276.57710000000003,Measured,134217728,0,134217728,Estimated,134217728,134217728,0.31489302957828014,DRAM Memory Bus (>16MB),Estimated
scrypt,0.11.0,"N=65536,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,480.2086,480.2086,488.83169999999996,488.83169999999996,474.1349,488.83169999999996,Measured,134217728,0,134217728,Estimated,134217728,134217728,0.17322914085552468,DRAM Memory Bus (>16MB),Estimated
