variant,threads,guesses_per_sec,latency_ms_per_guess,speedup_vs_1,parallel_efficiency,total_guesses,duration_secs
v3-a-sequential-cut,1,9.1404,109.404,1.0000,1.0000,11,1.2034
v3-a-sequential-cut,2,15.9783,62.585,1.7481,0.8740,21,1.3143
v3-a-sequential-cut,4,30.1389,33.180,3.2973,0.8243,40,1.3272
v3-a-sequential-cut,8,50.2908,19.884,5.5020,0.6878,67,1.3323
v3-a-sequential-cut,16,56.6465,17.653,6.1974,0.3873,78,1.3770
v3-a-sequential-cut,32,48.0749,20.801,5.2596,0.1644,84,1.7473
v3-b-recursive,1,4.7045,212.562,1.0000,1.0000,6,1.2754
v3-b-recursive,2,9.0864,110.055,1.9314,0.9657,12,1.3207
v3-b-recursive,4,15.1381,66.059,3.2178,0.8044,20,1.3212
v3-b-recursive,8,24.2570,41.225,5.1561,0.6445,35,1.4429
v3-b-recursive,16,32.3113,30.949,6.8681,0.4293,48,1.4855
v3-b-recursive,32,27.1481,36.835,5.7706,0.1803,61,2.2469
v3-c-narrow-frontier,1,3.8155,262.091,1.0000,1.0000,5,1.3105
v3-c-narrow-frontier,2,7.7105,129.694,2.0209,1.0104,10,1.2969
v3-c-narrow-frontier,4,12.2768,81.454,3.2177,0.8044,18,1.4662
v3-c-narrow-frontier,8,22.3138,44.815,5.8482,0.7310,32,1.4341
v3-c-narrow-frontier,16,25.1513,39.759,6.5919,0.4120,38,1.5109
v3-c-narrow-frontier,32,23.9979,41.670,6.2896,0.1966,60,2.5002
argon2id,1,10.6850,93.589,1.0000,1.0000,13,1.2167
argon2id,2,16.6536,60.047,1.5586,0.7793,22,1.3210
argon2id,4,20.4736,48.843,1.9161,0.4790,28,1.3676
argon2id,8,23.0631,43.359,2.1584,0.2698,32,1.3875
argon2id,16,24.5226,40.779,2.2950,0.1434,37,1.5088
argon2id,32,22.6920,44.068,2.1237,0.0664,60,2.6441
