variant,memory_mib,cache_misses_est,instructions_est
v3-a-sequential-cut,16,52429,389806188
v3-a-sequential-cut,16,52429,409643006
v3-a-sequential-cut,16,52429,443682158
v3-a-sequential-cut,16,52429,490994430
v3-a-sequential-cut,16,52429,822340966
v3-a-sequential-cut,16,52429,1426059891
v3-b-recursive,16,52429,734582019
v3-b-recursive,16,52429,721289111
v3-b-recursive,16,52429,762849006
v3-b-recursive,16,52429,965010694
v3-b-recursive,16,52429,1863695309
v3-b-recursive,16,52429,3788229653
v3-c-narrow-frontier,16,52429,810552126
v3-c-narrow-frontier,16,52429,914406874
v3-c-narrow-frontier,16,52429,979725011
v3-c-narrow-frontier,16,52429,1139864890
v3-c-narrow-frontier,16,52429,1765598450
v3-c-narrow-frontier,16,52429,3550095350
