variant,memory_mib,threads,p50_ms,p95_ms,p99_ms,cpu_cycles,instructions_est,cache_misses_est,dram_bytes,dram_bandwidth_gbps,num_blocks
v3-a-sequential-cut,16,1,116.573,140.887,140.887,436582931,389806188,52429,58720256,0.4691,524288
v3-a-sequential-cut,16,2,121.633,137.782,139.719,458800167,409643006,52429,58720256,0.4496,524288
v3-a-sequential-cut,16,4,131.909,154.299,162.327,496924017,443682158,52429,58720256,0.4146,524288
v3-a-sequential-cut,16,8,149.141,168.452,172.983,549913761,490994430,52429,58720256,0.3667,524288
v3-a-sequential-cut,16,16,245.982,334.997,359.738,921021882,822340966,52429,58720256,0.2223,524288
v3-a-sequential-cut,16,32,468.674,631.579,700.587,1597187078,1426059891,52429,58720256,0.1167,524288
v3-b-recursive,16,1,222.691,260.160,260.160,822731861,734582019,52429,58720256,0.2456,524288
v3-b-recursive,16,2,212.035,253.001,254.435,807843805,721289111,52429,58720256,0.2579,524288
v3-b-recursive,16,4,232.577,238.377,246.423,854390886,762849006,52429,58720256,0.2351,524288
v3-b-recursive,16,8,293.408,312.743,319.132,1080811978,965010694,52429,58720256,0.1864,524288
v3-b-recursive,16,16,561.252,820.886,837.980,2087338746,1863695309,52429,58720256,0.0974,524288
v3-b-recursive,16,32,1134.182,1315.358,1363.292,4242817211,3788229653,52429,58720256,0.0482,524288
v3-c-narrow-frontier,16,1,247.265,251.019,251.019,907818381,810552126,52429,58720256,0.2212,524288
v3-c-narrow-frontier,16,2,269.736,345.393,348.343,1024135698,914406874,52429,58720256,0.2027,524288
v3-c-narrow-frontier,16,4,292.041,342.134,364.180,1097292013,979725011,52429,58720256,0.1873,524288
v3-c-narrow-frontier,16,8,347.828,364.434,370.051,1276648677,1139864890,52429,58720256,0.1572,524288
v3-c-narrow-frontier,16,16,583.115,691.002,717.206,1977470264,1765598450,52429,58720256,0.0938,524288
v3-c-narrow-frontier,16,32,1136.533,1387.225,1421.628,3976106792,3550095350,52429,58720256,0.0481,524288
