variant,memory_pct,allocated_memory_mib,recomputation_factor,guesses_per_sec,digest_matches_full
v3-a-sequential-cut,100.00,16.00,1.0284,8.6934,true
v3-a-sequential-cut,75.00,12.00,5.2858,1.6914,true
v3-a-sequential-cut,50.00,8.00,5.2436,1.7050,true
v3-a-sequential-cut,25.00,4.00,5.2885,1.6905,true
v3-a-sequential-cut,12.50,2.00,4.6678,1.9153,true
v3-a-sequential-cut,6.25,1.00,4.5009,1.9863,true
v3-b-recursive,100.00,16.00,0.9660,4.7412,true
v3-b-recursive,75.00,12.00,4.0253,1.1378,true
v3-b-recursive,50.00,8.00,3.8232,1.1979,true
v3-b-recursive,25.00,4.00,4.0159,1.1404,true
v3-b-recursive,12.50,2.00,4.1687,1.0986,true
v3-b-recursive,6.25,1.00,5.1381,0.8914,true
v3-c-narrow-frontier,100.00,16.00,0.9849,4.0846,true
v3-c-narrow-frontier,75.00,12.00,5.2073,0.7726,false
v3-c-narrow-frontier,50.00,8.00,5.1619,0.7794,false
v3-c-narrow-frontier,25.00,4.00,5.5977,0.7187,false
v3-c-narrow-frontier,12.50,2.00,6.8966,0.5833,false
v3-c-narrow-frontier,6.25,1.00,7.0920,0.5673,false
