algorithm,parameters,mean_latency_ms,p50_latency_ms,memory_kib
argon2id,"memory_kib=8192,time_cost=1,parallelism=1",7.18,7.18,8192
argon2id,"memory_kib=8192,time_cost=1,parallelism=2",6.05,6.05,8192
argon2id,"memory_kib=8192,time_cost=2,parallelism=1",10.08,10.08,8192
argon2id,"memory_kib=8192,time_cost=2,parallelism=2",10.12,10.12,8192
argon2id,"memory_kib=16384,time_cost=1,parallelism=1",12.53,12.53,16384
argon2id,"memory_kib=16384,time_cost=1,parallelism=2",12.52,12.52,16384
argon2id,"memory_kib=16384,time_cost=2,parallelism=1",22.09,22.09,16384
argon2id,"memory_kib=16384,time_cost=2,parallelism=2",22.07,22.07,16384
argon2id,"memory_kib=32768,time_cost=1,parallelism=1",27.31,27.31,32768
argon2id,"memory_kib=32768,time_cost=1,parallelism=2",27.98,27.98,32768
argon2id,"memory_kib=32768,time_cost=2,parallelism=1",52.87,52.87,32768
argon2id,"memory_kib=32768,time_cost=2,parallelism=2",48.58,48.58,32768
argon2id,"memory_kib=65536,time_cost=1,parallelism=1",61.64,61.64,65536
argon2id,"memory_kib=65536,time_cost=1,parallelism=2",60.91,60.91,65536
argon2id,"memory_kib=65536,time_cost=2,parallelism=1",99.78,99.78,65536
argon2id,"memory_kib=65536,time_cost=2,parallelism=2",99.54,99.54,65536
