variant,memory_mib,concurrency_requests,ram_mb,cpu_pct,p50_latency_ms,p95_latency_ms
compute-memory-optimized,12,1,12.0,95.0,60.81,63.09
compute-memory-optimized,12,10,120.0,95.0,61.08,63.55
compute-memory-optimized,12,25,300.0,95.0,61.54,64.30
compute-memory-optimized,12,50,600.0,95.0,62.30,65.56
compute-memory-optimized,12,100,1200.0,95.0,63.82,68.08
compute-memory-optimized,12,250,3000.0,95.0,68.37,75.65
compute-memory-optimized,12,500,6000.0,95.0,75.97,88.26
compute-memory-optimized,12,1000,12000.0,95.0,91.17,113.47
compute-memory-optimized,16,1,16.0,95.0,85.74,89.71
compute-memory-optimized,16,10,160.0,95.0,86.12,90.36
compute-memory-optimized,16,25,400.0,95.0,86.77,91.43
compute-memory-optimized,16,50,800.0,95.0,87.84,93.22
compute-memory-optimized,16,100,1600.0,95.0,89.98,96.81
compute-memory-optimized,16,250,4000.0,95.0,96.41,107.57
compute-memory-optimized,16,500,8000.0,95.0,107.12,125.50
compute-memory-optimized,16,1000,16000.0,95.0,128.54,161.35
compute-memory-optimized,20,1,20.0,95.0,114.96,114.99
compute-memory-optimized,20,10,200.0,95.0,115.47,115.82
compute-memory-optimized,20,25,500.0,95.0,116.34,117.20
compute-memory-optimized,20,50,1000.0,95.0,117.77,119.50
compute-memory-optimized,20,100,2000.0,95.0,120.64,124.09
compute-memory-optimized,20,250,5000.0,95.0,129.26,137.88
compute-memory-optimized,20,500,10000.0,95.0,143.62,160.86
compute-memory-optimized,20,1000,20000.0,95.0,172.35,206.82
compute-memory-optimized,24,1,24.0,95.0,139.18,139.22
compute-memory-optimized,24,10,240.0,95.0,139.80,140.22
compute-memory-optimized,24,25,600.0,95.0,140.85,141.89
compute-memory-optimized,24,50,1200.0,95.0,142.59,144.67
compute-memory-optimized,24,100,2400.0,95.0,146.06,150.24
compute-memory-optimized,24,250,6000.0,95.0,156.50,166.93
compute-memory-optimized,24,500,12000.0,95.0,173.89,194.75
compute-memory-optimized,24,1000,24000.0,95.0,208.66,250.39
compute-memory-optimized,28,1,28.0,95.0,181.09,181.14
compute-memory-optimized,28,10,280.0,95.0,181.90,182.45
compute-memory-optimized,28,25,700.0,95.0,183.26,184.62
compute-memory-optimized,28,50,1400.0,95.0,185.52,188.24
compute-memory-optimized,28,100,2800.0,95.0,190.05,195.48
compute-memory-optimized,28,250,7000.0,95.0,203.62,217.20
compute-memory-optimized,28,500,14000.0,95.0,226.25,253.40
compute-memory-optimized,28,1000,28000.0,95.0,271.50,325.80
compute-memory-optimized,32,1,32.0,95.0,274.11,274.20
compute-memory-optimized,32,10,320.0,95.0,275.35,276.17
compute-memory-optimized,32,25,800.0,95.0,277.40,279.46
compute-memory-optimized,32,50,1600.0,95.0,280.83,284.94
compute-memory-optimized,32,100,3200.0,95.0,287.68,295.89
compute-memory-optimized,32,250,8000.0,95.0,308.22,328.77
compute-memory-optimized,32,500,16000.0,95.0,342.47,383.57
compute-memory-optimized,32,1000,32000.0,95.0,410.96,493.16
compute-memory-reference,16,1,16.0,95.0,160.64,160.69
compute-memory-reference,16,10,160.0,95.0,161.36,161.85
compute-memory-reference,16,25,400.0,95.0,162.57,163.77
compute-memory-reference,16,50,800.0,95.0,164.58,166.98
compute-memory-reference,16,100,1600.0,95.0,168.59,173.41
compute-memory-reference,16,250,4000.0,95.0,180.63,192.67
compute-memory-reference,16,500,8000.0,95.0,200.70,224.79
compute-memory-reference,16,1000,16000.0,95.0,240.84,289.01
candidate-004,16,1,16.0,95.0,28.06,28.32
candidate-004,16,10,160.0,95.0,28.18,28.52
candidate-004,16,25,400.0,95.0,28.39,28.86
candidate-004,16,50,800.0,95.0,28.75,29.43
candidate-004,16,100,1600.0,95.0,29.45,30.56
candidate-004,16,250,4000.0,95.0,31.55,33.95
candidate-004,16,500,8000.0,95.0,35.06,39.61
candidate-004,16,1000,16000.0,95.0,42.07,50.93
