threads,algorithm,working_memory_mib,peak_rss_mib,defender_p50_ms,defender_p95_ms,defender_p99_ms,defender_throughput_ops_s,cpu_utilization_pct,cpu_cycles_per_op,attacker_guesses_per_sec,attacker_latency_ms_per_guess,scaling_efficiency
1,antech-compute-memory-v2,16.00,70.31,75.520,85.942,85.942,13.0788,99.8,281922710,13.0397,76.689,1.0000
1,argon2id,64.00,70.31,97.710,123.401,123.401,10.0022,99.9,368866202,10.6981,93.475,1.0000
2,antech-compute-memory-v2,16.00,134.34,78.155,86.584,86.836,25.1144,99.3,291915498,23.9924,41.680,0.9200
2,argon2id,64.00,134.34,120.311,135.914,137.459,16.2351,99.1,450818997,15.5767,64.198,0.7280
4,antech-compute-memory-v2,16.00,262.42,86.307,103.980,112.634,42.0887,94.5,331808069,45.0824,22.182,0.8643
4,argon2id,64.00,262.42,184.978,219.437,228.499,21.1764,98.3,685371963,20.7430,48.209,0.4847
8,antech-compute-memory-v2,16.00,518.52,119.359,134.082,140.234,65.9603,98.5,440988791,68.3297,14.635,0.6550
8,argon2id,64.00,518.52,350.773,380.415,388.646,22.7273,98.8,1284489439,22.7929,43.873,0.2663
16,antech-compute-memory-v2,16.00,1030.79,203.730,278.332,345.308,73.9786,90.2,720314846,76.0677,13.146,0.3646
16,argon2id,64.00,1030.79,710.236,816.643,829.204,22.6077,95.9,2506986811,20.4159,48.981,0.1193
32,antech-compute-memory-v2,16.00,2036.97,354.544,497.880,525.400,74.6766,80.1,1267723708,69.0724,14.478,0.1655
32,argon2id,64.00,2036.97,1292.529,1530.085,1559.801,23.5306,90.7,4554869838,21.9609,45.535,0.0641
