strategy,memory_mib,threads,gps,correct,kind,notes
production_engine,16,1,10.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,1,14.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,1,15.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,1,18.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,1,14.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
production_engine,16,2,18.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,2,22.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,2,22.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,2,32.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,2,24.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
production_engine,16,4,29.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,4,36.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,4,38.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,4,39.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,4,32.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
production_engine,16,8,40.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,8,55.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,8,56.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,8,64.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,8,64.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
production_engine,16,16,47.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,16,62.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,16,66.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,16,75.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,16,64.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
production_engine,16,32,66.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_ring,16,32,81.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_noring,16,32,88.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_prefetch,16,32,75.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
packed_dual,16,32,76.000000,true,MEASURED,"avx2_compile_or_runtime=true; packed uses u64 layout+prefetch; dual=2walks"
