Metric,Argon2id Baseline,Antech Variant K1,Antech Variant K2,Metric Classification
RAM Footprint,64 MB,16 MB,16 MB,MEASURED
Defender p50 Latency,138.2 ms,108.0 ms,112.0 ms,MEASURED
CPU 16-Core Attacker Speed,24.2 g/s,19.2 g/s,18.8 g/s,MEASURED
REAL GPU Guesses/sec,CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
GPU p50 Latency,CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
GPU VRAM Usage,CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
GPU Utilization,CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
GPU Memory Traffic,CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
TMTO @ 50% RAM (GPU),CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
Multi-Target Scaling (GPU),CUDA UNAVAILABLE,CUDA UNAVAILABLE,CUDA UNAVAILABLE,UNAVAILABLE
