backend,vector_count,vector_id,password,salt,reference_hex,candidate_hex,match
packed_ring,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,true
packed_noring,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,true
packed_prefetch,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,5d65f068a7f566117aecda306bcd367e5099e3cd992255e1c946ac179a942cbe,true
packed_ring,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,true
packed_noring,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,true
packed_prefetch,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,c88e6d6e3696b714eb466b965ff67fdb56160d575acb628877118fceeb8c9f71,true
packed_ring,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,true
packed_noring,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,true
packed_prefetch,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,4659d70ed7d27ef3f017991ea2d3fff887d6110d54f681dcd1d2e0c84ede3774,true
packed_ring,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,true
packed_noring,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,true
packed_prefetch,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,cda2e504f5f5360ac6c7fdb724ba070c57578c2423fbafaaa42ae287d7139665,true
packed_ring,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,true
packed_noring,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,true
packed_prefetch,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,0dcc560439c2f035c4cc978d34622616d83f8e52e1013fefce979cdfdb6ac0bb,true
packed_ring,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,true
packed_noring,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,true
packed_prefetch,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,4daa86f6d178fc66566450b040deeb11f1e348d99a625f181ec8b3a3e12ab375,true
packed_ring,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,true
packed_noring,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,true
packed_prefetch,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,d89994ecd0dcb004fda39832dbf10ec2dcffac04843221777f43d1e6db9300ec,true
packed_ring,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,true
packed_noring,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,true
packed_prefetch,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,528f2ada4d989f7adbdfcb5cb48c3b1cca82b769db2a75d7879805ae8a2bffd7,true
packed_ring,10,8,v4c_gpu_vector_08,v4_gpu_correct_salt,4b1e804bd1e7983e8d7b860268b43e67d0f1d87c51efc20e0dcf40fa7ed18673,4b1e804bd1e7983e8d7b860268b43e67d0f1d87c51efc20e0dcf40fa7ed18673,true
packed_noring,10,8,v4c_gpu_vector_08,v4_gpu_correct_salt,4b1e804bd1e7983e8d7b860268b43e67d0f1d87c51efc20e0dcf40fa7ed18673,4b1e804bd1e7983e8d7b860268b43e67d0f1d87c51efc20e0dcf40fa7ed18673,true
