impl,threads,guesses_per_sec,cycles_per_guess,instructions_per_guess,ipc,cache_misses,memory_traffic_bytes_est,parallel_efficiency,total_guesses,duration_secs
production_engine,1,8.058998,457844904.2,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1006632960,1.0000,10,1.240849
production_engine,2,11.299511,630441251.1,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1509949440,0.7010,15,1.327491
production_engine,4,18.646045,740214860.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2516582400,0.5784,25,1.340767
production_engine,8,31.594335,867908113.7,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4328521728,0.4900,43,1.361004
production_engine,16,39.593248,1364936020.6,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,5737807872,0.3071,57,1.439639
production_engine,32,35.481704,1667368795.7,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,9965666304,0.1376,99,2.790170
packed_ring,1,9.107520,405064062.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1107296256,1.0000,11,1.207793
packed_ring,2,12.913434,554084670.1,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1711276032,0.7089,17,1.316458
packed_ring,4,20.870538,691486832.9,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2818572288,0.5729,28,1.341604
packed_ring,8,35.242697,795553005.6,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4831838208,0.4837,48,1.361984
packed_ring,16,43.586846,1250621185.2,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6140461056,0.2991,61,1.399505
packed_ring,32,43.793277,1913341905.2,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8959033344,0.1503,89,2.032275
packed_noring,1,9.372130,393650628.2,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1207959552,1.0000,12,1.280392
packed_noring,2,13.100367,546499731.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1711276032,0.6989,17,1.297674
packed_noring,4,21.143266,683170529.2,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2818572288,0.5640,28,1.324299
packed_noring,8,35.307580,794888381.9,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,5033164800,0.4709,50,1.416127
packed_noring,16,42.295453,1317529206.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,5939134464,0.2821,59,1.394949
packed_noring,32,45.417829,2341650491.8,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,7549747200,0.1514,75,1.651334
packed_prefetch,1,9.504372,388153387.1,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1207959552,1.0000,12,1.262577
packed_prefetch,2,13.063498,546854530.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1711276032,0.6872,17,1.301336
packed_prefetch,4,20.762842,683707497.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2818572288,0.5461,28,1.348563
packed_prefetch,8,35.598733,787785419.8,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4831838208,0.4682,48,1.348363
packed_prefetch,16,41.578562,1305234401.1,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,5939134464,0.2734,59,1.419001
packed_prefetch,32,41.860185,2455434005.4,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,7851737088,0.1376,78,1.863346
packed_dual_lockstep,1,7.772602,474073163.4,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1006632960,1.0000,10,1.286571
packed_dual_lockstep,2,11.752405,617739107.8,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1610612736,0.7560,16,1.361423
packed_dual_lockstep,4,19.051049,728083888.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,3019898880,0.6128,30,1.574716
packed_dual_lockstep,8,32.682958,856065767.9,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4831838208,0.5256,48,1.468655
packed_dual_lockstep,16,40.535631,1308205586.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6845104128,0.3259,68,1.677536
packed_dual_lockstep,32,38.470513,2663768367.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8455716864,0.1547,84,2.183491
