platform,mem_arch,memory_mib_per_guess,parallel_guesses,on_chip_mem_bytes,external_mem_bytes,bytes_per_guess_traffic,mem_bandwidth_needed_bytes_s,cycles_per_guess,clock_hz,throughput_gps,area_mm2_or_fpga_util,power_w,energy_j_per_guess,area_per_gps,power_per_gps,bottleneck,kind,notes
asic,on_chip_sram,16,1,16777216,0,117432320,1.400e10,1.258e7,1.500e9,1.192093e2,21.1215,0.8000,6.7109e-3,1.7718e-1,6.7109e-3,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,external_ddr,16,1,65536,16777216,117432320,9.955e8,9.437e7,8.000e8,8.477105e0,0.2319,2.5000,2.9491e-1,2.7358e-2,2.9491e-1,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,hbm,16,1,65536,16777216,117432320,2.986e9,3.146e7,8.000e8,2.543132e1,0.2319,1.8000,7.0779e-2,9.1195e-3,7.0779e-2,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,on_chip_sram,16,10,167772160,0,117432320,1.400e11,1.258e7,1.500e9,4.768372e2,211.2152,8.0000,1.6777e-2,4.4295e-1,1.6777e-2,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,external_ddr,16,10,655360,167772160,117432320,9.955e9,9.437e7,8.000e8,8.477105e1,2.3192,25.0000,2.9491e-1,2.7358e-2,2.9491e-1,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,hbm,16,10,655360,167772160,117432320,2.986e10,3.146e7,8.000e8,2.543132e2,2.3192,18.0000,7.0779e-2,9.1195e-3,7.0779e-2,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,on_chip_sram,16,100,1677721600,0,117432320,1.400e12,1.258e7,1.500e9,4.470348e2,2112.1520,75.0000,1.6777e-1,4.7248e0,1.6777e-1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,external_ddr,16,100,6553600,1677721600,117432320,5.000e10,9.437e7,8.000e8,1.277331e2,23.1920,75.0000,5.8716e-1,1.8157e-1,5.8716e-1,external_memory_bandwidth,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,hbm,16,100,6553600,1677721600,117432320,2.986e11,3.146e7,8.000e8,1.059638e3,23.1920,75.0000,7.0779e-2,2.1887e-2,7.0779e-2,power_budget,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,on_chip_sram,16,1000,16777216000,0,117432320,1.400e13,1.258e7,1.500e9,4.470348e1,21121.5200,75.0000,1.6777e0,4.7248e2,1.6777e0,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,external_ddr,16,1000,65536000,16777216000,117432320,5.000e10,9.437e7,8.000e8,1.277331e1,231.9200,75.0000,5.8716e0,1.8157e1,5.8716e0,external_memory_bandwidth,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,hbm,16,1000,65536000,16777216000,117432320,4.600e11,3.146e7,8.000e8,1.632146e2,231.9200,75.0000,4.5952e-1,1.4210e0,4.5952e-1,external_memory_bandwidth,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,on_chip_sram,16,10000,167772160000,0,117432320,1.400e14,1.258e7,1.500e9,4.470348e0,211215.2000,75.0000,1.6777e1,4.7248e4,1.6777e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,external_ddr,16,10000,655360000,167772160000,117432320,5.000e10,9.437e7,8.000e8,1.046390e0,2319.2000,75.0000,7.1675e1,2.2164e3,7.1675e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
asic,hbm,16,10000,655360000,167772160000,117432320,4.600e11,3.146e7,8.000e8,1.671317e0,2319.2000,75.0000,4.4875e1,1.3876e3,4.4875e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
