platform,mem_arch,memory_mib_per_guess,parallel_guesses,on_chip_mem_bytes,external_mem_bytes,bytes_per_guess_traffic,mem_bandwidth_needed_bytes_s,cycles_per_guess,clock_hz,throughput_gps,area_mm2_or_fpga_util,power_w,energy_j_per_guess,area_per_gps,power_per_gps,bottleneck,kind,notes
fpga,fpga_bram_uram,16,1,16777216,0,117432320,1.867e9,2.517e7,4.000e8,1.589457e1,0.0200,0.8000,5.0332e-2,1.2583e-3,5.0332e-2,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,external_ddr,16,1,65536,16777216,117432320,2.489e8,9.437e7,2.000e8,2.119276e0,0.0200,2.5000,1.1796e0,9.4372e-3,1.1796e0,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,hbm,16,1,65536,16777216,117432320,7.466e8,3.146e7,2.000e8,6.357829e0,0.0200,1.8000,2.8312e-1,3.1457e-3,2.8312e-1,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,fpga_bram_uram,16,10,167772160,0,117432320,1.867e10,2.517e7,4.000e8,3.178914e1,0.2000,8.0000,2.5166e-1,6.2915e-3,2.5166e-1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,external_ddr,16,10,655360,167772160,117432320,2.489e9,9.437e7,2.000e8,2.119276e1,0.2000,25.0000,1.1796e0,9.4372e-3,1.1796e0,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,hbm,16,10,655360,167772160,117432320,7.466e9,3.146e7,2.000e8,6.357829e1,0.2000,18.0000,2.8312e-1,3.1457e-3,2.8312e-1,compute_sequential_state,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,fpga_bram_uram,16,100,1677721600,0,117432320,1.867e11,2.517e7,4.000e8,2.980232e1,2.0000,75.0000,2.5166e0,6.7109e-2,2.5166e0,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,external_ddr,16,100,6553600,1677721600,117432320,2.489e10,9.437e7,2.000e8,6.357829e1,2.0000,75.0000,1.1796e0,3.1457e-2,1.1796e0,power_budget,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,hbm,16,100,6553600,1677721600,117432320,7.466e10,3.146e7,2.000e8,2.649095e2,2.0000,75.0000,2.8312e-1,7.5497e-3,2.8312e-1,power_budget,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,fpga_bram_uram,16,1000,16777216000,0,117432320,1.867e12,2.517e7,4.000e8,2.980232e0,20.0000,75.0000,2.5166e1,6.7109e0,2.5166e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,external_ddr,16,1000,65536000,16777216000,117432320,5.000e10,9.437e7,2.000e8,1.277331e1,20.0000,75.0000,5.8716e0,1.5658e0,5.8716e0,external_memory_bandwidth,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,hbm,16,1000,65536000,16777216000,117432320,4.600e11,3.146e7,2.000e8,1.632146e2,20.0000,75.0000,4.5952e-1,1.2254e-1,4.5952e-1,external_memory_bandwidth,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,fpga_bram_uram,16,10000,167772160000,0,117432320,1.867e13,2.517e7,4.000e8,2.980232e-1,200.0000,75.0000,2.5166e2,6.7109e2,2.5166e2,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,external_ddr,16,10000,655360000,167772160000,117432320,5.000e10,9.437e7,2.000e8,1.046390e0,200.0000,75.0000,7.1675e1,1.9113e2,7.1675e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
fpga,hbm,16,10000,655360000,167772160000,117432320,4.600e11,3.146e7,2.000e8,1.671317e0,200.0000,75.0000,4.4875e1,1.1967e2,4.4875e1,memory_capacity,MODELED,SW decode/branch removed; sequential 256-bit state + dual scatter RMW remain. N=524288
