algorithm,version,parameters,cpu,cores,ram_gib,os,iterations,warmup_iterations,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,peak_ram_bytes,avg_ram_bytes,memory_bytes_read,memory_bytes_written
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,7.2549,7.2549,7.463100000000001,7.463100000000001,7.2454,7.463100000000001,0,0,8388608,8388608
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,6.3622000000000005,6.3622000000000005,6.6800999999999995,6.6800999999999995,5.855700000000001,6.6800999999999995,0,0,8388608,8388608
argon2id,0.5.0,"memory_kib=8192,time_cost=1,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,6.4249,6.4249,6.991899999999999,6.991899999999999,6.037599999999999,6.991899999999999,0,0,8388608,8388608
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,10.8263,10.8263,11.2727,11.2727,10.293,11.2727,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,10.7761,10.7761,11.1255,11.1255,9.8087,11.1255,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=8192,time_cost=2,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,10.8716,10.8716,13.7068,13.7068,10.155000000000001,13.7068,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,14.2859,14.2859,14.8176,14.8176,13.9689,14.8176,0,0,25165824,25165824
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,15.184700000000001,15.184700000000001,15.2528,15.2528,14.6282,15.2528,0,0,25165824,25165824
argon2id,0.5.0,"memory_kib=8192,time_cost=3,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,14.7506,14.7506,15.7703,15.7703,14.5283,15.7703,0,0,25165824,25165824
argon2id,0.5.0,"memory_kib=8192,time_cost=4,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,19.2549,19.2549,20.099,20.099,19.212300000000003,20.099,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=8192,time_cost=4,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,21.6656,21.6656,22.3395,22.3395,20.0494,22.3395,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=8192,time_cost=4,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,19.6459,19.6459,20.8628,20.8628,19.3428,20.8628,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=16384,time_cost=1,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,13.1353,13.1353,14.1748,14.1748,11.729099999999999,14.1748,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=16384,time_cost=1,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,13.207699999999999,13.207699999999999,13.740499999999999,13.740499999999999,12.8887,13.740499999999999,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=16384,time_cost=1,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,13.089,13.089,13.1039,13.1039,12.926,13.1039,0,0,16777216,16777216
argon2id,0.5.0,"memory_kib=16384,time_cost=2,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,22.8277,22.8277,24.3819,24.3819,22.7572,24.3819,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=16384,time_cost=2,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,22.983,22.983,24.025100000000002,24.025100000000002,22.0276,24.025100000000002,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=16384,time_cost=2,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,23.5678,23.5678,24.0668,24.0668,21.9971,24.0668,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=16384,time_cost=3,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,32.3979,32.3979,33.1065,33.1065,32.0543,33.1065,0,0,50331648,50331648
argon2id,0.5.0,"memory_kib=16384,time_cost=3,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,31.9377,31.9377,32.510400000000004,32.510400000000004,31.784100000000002,32.510400000000004,0,0,50331648,50331648
argon2id,0.5.0,"memory_kib=16384,time_cost=3,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,31.975900000000003,31.975900000000003,32.2292,32.2292,31.556099999999997,32.2292,0,0,50331648,50331648
argon2id,0.5.0,"memory_kib=16384,time_cost=4,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,42.9965,42.9965,46.275499999999994,46.275499999999994,42.5473,46.275499999999994,0,0,67108864,67108864
argon2id,0.5.0,"memory_kib=16384,time_cost=4,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,41.8819,41.8819,42.275800000000004,42.275800000000004,41.4579,42.275800000000004,0,0,67108864,67108864
argon2id,0.5.0,"memory_kib=16384,time_cost=4,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,42.7477,42.7477,46.6025,46.6025,40.751000000000005,46.6025,0,0,67108864,67108864
argon2id,0.5.0,"memory_kib=32768,time_cost=1,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,27.847299999999997,27.847299999999997,28.7031,28.7031,26.5162,28.7031,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=32768,time_cost=1,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,27.169900000000002,27.169900000000002,28.0092,28.0092,25.927100000000003,28.0092,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=32768,time_cost=1,parallelism=4",Host CPU (12 logical cores),12,32,windows,3,1,28.8148,28.8148,30.0029,30.0029,27.662499999999998,30.0029,0,0,33554432,33554432
argon2id,0.5.0,"memory_kib=32768,time_cost=2,parallelism=1",Host CPU (12 logical cores),12,32,windows,3,1,47.1493,47.1493,47.6458,47.6458,46.5085,47.6458,0,0,67108864,67108864
argon2id,0.5.0,"memory_kib=32768,time_cost=2,parallelism=2",Host CPU (12 logical cores),12,32,windows,3,1,47.1456,47.1456,48.8877,48.8877,47.1341,48.8877,0,0,67108864,67108864
