backend,vector_count,vector_id,password,salt,reference_hex,candidate_hex,match
packed_ring,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_noring,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_prefetch,10,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_ring,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_noring,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_prefetch,10,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_ring,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_noring,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_prefetch,10,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_ring,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_noring,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_prefetch,10,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_ring,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_noring,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_prefetch,10,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_ring,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_noring,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_prefetch,10,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_ring,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_noring,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_prefetch,10,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_ring,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_noring,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_prefetch,10,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_ring,10,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_noring,10,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_prefetch,10,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_ring,10,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_noring,10,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_prefetch,10,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_ring,50,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_noring,50,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_prefetch,50,0,v4c_gpu_vector_00,v4_gpu_correct_salt,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,3b0c19f7a35370c1922ea50288ad646337f833d333c7d08351ef88df39f0b869,true
packed_ring,50,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_noring,50,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_prefetch,50,1,v4c_gpu_vector_01,v4_gpu_correct_salt,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,2f7cea0e095d2a950b50d3a21d863779f40ce6ea36486999a99e5d00701ae9ea,true
packed_ring,50,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_noring,50,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_prefetch,50,2,v4c_gpu_vector_02,v4_gpu_correct_salt,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,203f07e22348b4264a71fd2df38c5263128c96ffe193c37188ec51d99e177585,true
packed_ring,50,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_noring,50,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_prefetch,50,3,v4c_gpu_vector_03,v4_gpu_correct_salt,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,8afc6dbef3ca239954ab41bb5e54ce49d41cc7d0ef530cc6578c68773ae44d52,true
packed_ring,50,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_noring,50,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_prefetch,50,4,v4c_gpu_vector_04,v4_gpu_correct_salt,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,cf79051ab2585183bb0922d8b7c311590214af01827501b1b4904770b94a348e,true
packed_ring,50,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_noring,50,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_prefetch,50,5,v4c_gpu_vector_05,v4_gpu_correct_salt,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,cbae2cdebdccdf89da75d3748b5f40679c866a2d2e4bc12757e2cf04423dd483,true
packed_ring,50,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_noring,50,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_prefetch,50,6,v4c_gpu_vector_06,v4_gpu_correct_salt,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,5329a6b34b3a5af96b04ac20e11990a5432aa5c5e2cc591747c50e66305beace,true
packed_ring,50,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_noring,50,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_prefetch,50,7,v4c_gpu_vector_07,v4_gpu_correct_salt,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,21a122e4ddc39d8aaf427d3f791fbed03e387d678388cad4022e1efa76141cd1,true
packed_ring,50,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_noring,50,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_prefetch,50,8,v4c_gpu_vector_08,v4_gpu_correct_salt,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,75c3f918e6afa4ec1e0a9a6f8d64c3f89b7d9e1d85aed2044e3c5fa71341dbc6,true
packed_ring,50,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_noring,50,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_prefetch,50,9,v4c_gpu_vector_09,v4_gpu_correct_salt,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,a4772707097e123ec710dd606699a02915659a8c7d3e36e901d0b0749ef3cb70,true
packed_ring,50,10,v4c_gpu_vector_10,v4_gpu_correct_salt,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,true
packed_noring,50,10,v4c_gpu_vector_10,v4_gpu_correct_salt,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,true
packed_prefetch,50,10,v4c_gpu_vector_10,v4_gpu_correct_salt,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,fb877e972793ff2952a071ee8f3c550fd3493c5f9ab04a3466de710da3222c26,true
packed_ring,50,11,v4c_gpu_vector_11,v4_gpu_correct_salt,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,true
packed_noring,50,11,v4c_gpu_vector_11,v4_gpu_correct_salt,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,true
packed_prefetch,50,11,v4c_gpu_vector_11,v4_gpu_correct_salt,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,cf490c4316d0e902fa6e8a931aaeb79240f10e40541d8e6c3390fa8df0b9054a,true
packed_ring,50,12,v4c_gpu_vector_12,v4_gpu_correct_salt,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,true
packed_noring,50,12,v4c_gpu_vector_12,v4_gpu_correct_salt,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,true
packed_prefetch,50,12,v4c_gpu_vector_12,v4_gpu_correct_salt,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,90609daf86c4d882155b8f5db74a9ddf1a8f70d8f3e96b03e0c36bc1db7e4b61,true
packed_ring,50,13,v4c_gpu_vector_13,v4_gpu_correct_salt,c5ed16db145d3fbff77f1e294b957efbb5d78663713a787d4bffaa7da5ecca05,c5ed16db145d3fbff77f1e294b957efbb5d78663713a787d4bffaa7da5ecca05,true
