impl,threads,guesses_per_sec,cycles_per_guess,instructions_per_guess,ipc,cache_misses,memory_traffic_bytes_est,parallel_efficiency,total_guesses,duration_secs
production_engine,1,10.212020,361491226.7,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1308622848,1.0000,13,1.273010
production_engine,2,12.047580,603625166.4,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1610612736,0.5899,16,1.328068
production_engine,4,20.523598,704356257.5,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2818572288,0.5024,28,1.364283
production_engine,8,33.404128,833470590.4,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4630511616,0.4089,46,1.377075
production_engine,16,45.444518,1209301243.3,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6643777536,0.2781,66,1.452320
production_engine,32,39.522166,1605241297.9,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,10468982784,0.1209,104,2.631435
packed_ring,1,13.447000,274354441.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1610612736,1.0000,16,1.189000
packed_ring,2,18.523000,394355144.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2315255808,0.6885,23,1.241000
packed_ring,4,28.964000,489580444.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,3623878656,0.5385,36,1.242000
packed_ring,8,49.224000,582100742.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6341787648,0.4575,63,1.279000
packed_ring,16,60.852000,924631714.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8355053568,0.2836,83,1.364000
packed_ring,32,59.347000,964190750.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,9059696640,0.1385,90,1.516000
packed_noring,1,14.503000,254366733.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1811939328,1.0000,18,1.241000
packed_noring,2,19.241000,379133082.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2415919104,0.6634,24,1.247000
packed_noring,4,30.343000,481927448.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,3925868544,0.5235,39,1.285000
packed_noring,8,47.846000,587796330.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6643777536,0.4135,66,1.379000
packed_noring,16,62.578000,847681449.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8657043456,0.2701,86,1.374000
packed_noring,32,58.979000,950584981.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8959033344,0.1275,89,1.509000
packed_prefetch,1,18.219000,202488307.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2113929216,1.0000,21,1.152000
packed_prefetch,2,23.984000,305073163.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2919235584,0.6589,29,1.209000
packed_prefetch,4,38.136000,381898515.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,4429185024,0.5240,44,1.154000
packed_prefetch,8,64.249000,450488191.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,7046430720,0.4416,70,1.089000
packed_prefetch,16,73.978897,762752565.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,9462349824,0.2540,94,1.271000
packed_prefetch,32,70.518648,841634689.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,9965666304,0.1215,99,1.404000
packed_dual_lockstep,1,13.238000,278511596.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,1610612736,1.0000,16,1.209000
packed_dual_lockstep,2,17.629000,414686301.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,2415919104,0.6659,24,1.362000
packed_dual_lockstep,4,28.040000,519867476.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,3825205248,0.5295,38,1.355000
packed_dual_lockstep,8,46.209000,602156674.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6241124352,0.4374,62,1.342000
packed_dual_lockstep,16,57.629000,919368368.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8455716864,0.2729,84,1.458000
packed_dual_lockstep,32,55.557000,1163001428.0,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,9059696640,0.1315,90,1.620000
argon2id,1,10.144000,UNAVAILABLE,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,6710886400,1.0000,12,1.183000
argon2id,2,12.916000,UNAVAILABLE,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,UNAVAILABLE_NO_PMU,8589934592,0.6368,16,1.239000
