variant,memory_mib,threads,guesses_per_sec,latency_ms_per_guess,speedup_vs_1,parallel_efficiency,total_guesses,duration_secs
v4-a-reduced-critical-path,16,1,15.0161,66.595,1.0000,1.0000,19,1.2653
v4-a-reduced-critical-path,16,2,26.9134,37.156,1.7923,0.8962,34,1.2633
v4-a-reduced-critical-path,16,4,47.6998,20.964,3.1766,0.7941,60,1.2579
v4-a-reduced-critical-path,16,8,66.1343,15.121,4.4042,0.5505,87,1.3155
v4-a-reduced-critical-path,16,16,79.3173,12.608,5.2822,0.3301,107,1.3490
v4-a-reduced-critical-path,16,32,64.4144,15.524,4.2897,0.1341,140,2.1734
v4-b-cache-locality,16,1,14.6939,68.056,1.0000,1.0000,18,1.2250
v4-b-cache-locality,16,2,27.0005,37.036,1.8375,0.9188,33,1.2222
v4-b-cache-locality,16,4,47.7159,20.957,3.2473,0.8118,60,1.2574
v4-b-cache-locality,16,8,68.1265,14.679,4.6364,0.5795,88,1.2917
v4-b-cache-locality,16,16,78.3372,12.765,5.3313,0.3332,110,1.4042
v4-b-cache-locality,16,32,71.6718,13.952,4.8777,0.1524,190,2.6510
v4-c-combined-frontier,16,1,10.1585,98.439,1.0000,1.0000,13,1.2797
v4-c-combined-frontier,16,2,17.1614,58.270,1.6894,0.8447,22,1.2819
v4-c-combined-frontier,16,4,26.7580,37.372,2.6340,0.6585,35,1.3080
v4-c-combined-frontier,16,8,36.0777,27.718,3.5515,0.4439,48,1.3305
v4-c-combined-frontier,16,16,40.5566,24.657,3.9924,0.2495,62,1.5287
v4-c-combined-frontier,16,32,38.2726,26.128,3.7675,0.1177,91,2.3777
v4-a-reduced-critical-path,24,1,9.0952,109.948,1.0000,1.0000,11,1.2094
v4-a-reduced-critical-path,24,2,17.0394,58.688,1.8735,0.9367,22,1.2911
v4-a-reduced-critical-path,24,4,28.9732,34.515,3.1856,0.7964,37,1.2770
v4-a-reduced-critical-path,24,8,42.0834,23.762,4.6270,0.5784,56,1.3307
v4-a-reduced-critical-path,24,16,45.9228,21.776,5.0491,0.3156,65,1.4154
v4-a-reduced-critical-path,24,32,44.3567,22.544,4.8770,0.1524,100,2.2544
v4-b-cache-locality,24,1,8.3625,119.582,1.0000,1.0000,11,1.3154
v4-b-cache-locality,24,2,18.1558,55.079,2.1711,1.0856,22,1.2117
v4-b-cache-locality,24,4,29.7038,33.666,3.5520,0.8880,36,1.2120
v4-b-cache-locality,24,8,42.1814,23.707,5.0441,0.6305,56,1.3276
v4-b-cache-locality,24,16,47.3192,21.133,5.6585,0.3537,72,1.5216
v4-b-cache-locality,24,32,42.9077,23.306,5.1310,0.1603,104,2.4238
v4-c-combined-frontier,24,1,5.6469,177.089,1.0000,1.0000,7,1.2396
v4-c-combined-frontier,24,2,11.0666,90.362,1.9598,0.9799,14,1.2651
v4-c-combined-frontier,24,4,17.3763,57.550,3.0772,0.7693,24,1.3812
v4-c-combined-frontier,24,8,23.0650,43.356,4.0846,0.5106,32,1.3874
v4-c-combined-frontier,24,16,25.1750,39.722,4.4582,0.2786,36,1.4300
v4-c-combined-frontier,24,32,27.6639,36.148,4.8990,0.1531,64,2.3135
v4-a-reduced-critical-path,32,1,6.1371,162.942,1.0000,1.0000,8,1.3035
v4-a-reduced-critical-path,32,2,12.5807,79.487,2.0499,1.0250,16,1.2718
v4-a-reduced-critical-path,32,4,21.4018,46.725,3.4872,0.8718,28,1.3083
v4-a-reduced-critical-path,32,8,31.0422,32.214,5.0581,0.6323,40,1.2886
v4-a-reduced-critical-path,32,16,34.8548,28.690,5.6793,0.3550,53,1.5206
v4-a-reduced-critical-path,32,32,31.1344,32.119,5.0731,0.1585,81,2.6016
v4-b-cache-locality,32,1,7.0081,142.693,1.0000,1.0000,9,1.2842
v4-b-cache-locality,32,2,12.9647,77.133,1.8500,0.9250,16,1.2341
v4-b-cache-locality,32,4,21.4727,46.571,3.0640,0.7660,28,1.3040
v4-b-cache-locality,32,8,30.6879,32.586,4.3789,0.5474,40,1.3034
v4-b-cache-locality,32,16,35.6173,28.076,5.0823,0.3176,48,1.3477
v4-b-cache-locality,32,32,30.0038,33.329,4.2813,0.1338,75,2.4997
v4-c-combined-frontier,32,1,4.0835,244.891,1.0000,1.0000,5,1.2245
v4-c-combined-frontier,32,2,7.8021,128.170,1.9107,0.9553,11,1.4099
v4-c-combined-frontier,32,4,12.2035,81.943,2.9885,0.7471,16,1.3111
v4-c-combined-frontier,32,8,16.6871,59.926,4.0865,0.5108,24,1.4382
v4-c-combined-frontier,32,16,18.6155,53.719,4.5588,0.2849,36,1.9339
v4-c-combined-frontier,32,32,18.2184,54.890,4.4615,0.1394,53,2.9091
argon2id,64,1,10.3474,96.642,1.0000,1.0000,13,1.2563
argon2id,64,2,16.1297,61.997,1.5588,0.7794,21,1.3019
argon2id,64,4,20.9996,47.620,2.0294,0.5074,28,1.3334
argon2id,64,8,22.6852,44.082,2.1923,0.2740,32,1.4106
argon2id,64,16,22.9427,43.587,2.2172,0.1386,36,1.5691
argon2id,64,32,23.6582,42.269,2.2864,0.0714,60,2.5361
