variant,memory_mib,dram_bytes_est,dram_bandwidth_gbps
v4-a-reduced-critical-path,16,54525952,0.7063
v4-a-reduced-critical-path,16,54525952,0.7213
v4-a-reduced-critical-path,16,54525952,0.5056
v4-a-reduced-critical-path,16,54525952,0.4325
v4-a-reduced-critical-path,16,54525952,0.2671
v4-a-reduced-critical-path,16,54525952,0.2661
v4-b-cache-locality,16,67108864,0.9037
v4-b-cache-locality,16,67108864,0.9701
v4-b-cache-locality,16,67108864,0.7259
v4-b-cache-locality,16,67108864,0.5436
v4-b-cache-locality,16,67108864,0.3548
v4-b-cache-locality,16,67108864,0.3338
v4-c-combined-frontier,16,83886080,0.8114
v4-c-combined-frontier,16,83886080,0.6831
v4-c-combined-frontier,16,83886080,0.5570
v4-c-combined-frontier,16,83886080,0.3631
v4-c-combined-frontier,16,83886080,0.2161
v4-c-combined-frontier,16,83886080,0.1557
v4-a-reduced-critical-path,24,81788928,0.6937
v4-a-reduced-critical-path,24,81788928,0.6598
v4-a-reduced-critical-path,24,81788928,0.5548
v4-a-reduced-critical-path,24,81788928,0.4137
v4-a-reduced-critical-path,24,81788928,0.2752
v4-a-reduced-critical-path,24,81788928,0.2168
v4-b-cache-locality,24,100663296,0.9549
v4-b-cache-locality,24,100663296,0.8379
v4-b-cache-locality,24,100663296,0.7156
v4-b-cache-locality,24,100663296,0.5031
v4-b-cache-locality,24,100663296,0.3376
v4-b-cache-locality,24,100663296,0.2181
v4-c-combined-frontier,24,125829120,0.7217
v4-c-combined-frontier,24,125829120,0.6656
v4-c-combined-frontier,24,125829120,0.4929
v4-c-combined-frontier,24,125829120,0.3325
v4-c-combined-frontier,24,125829120,0.2113
v4-c-combined-frontier,24,125829120,0.1289
v4-a-reduced-critical-path,32,109051904,0.6895
v4-a-reduced-critical-path,32,109051904,0.6821
v4-a-reduced-critical-path,32,109051904,0.5457
v4-a-reduced-critical-path,32,109051904,0.3894
v4-a-reduced-critical-path,32,109051904,0.2540
v4-a-reduced-critical-path,32,109051904,0.1466
v4-b-cache-locality,32,134217728,0.9253
v4-b-cache-locality,32,134217728,0.8791
v4-b-cache-locality,32,134217728,0.6706
v4-b-cache-locality,32,134217728,0.4906
v4-b-cache-locality,32,134217728,0.2973
v4-b-cache-locality,32,134217728,0.1814
v4-c-combined-frontier,32,167772160,0.6950
v4-c-combined-frontier,32,167772160,0.6014
v4-c-combined-frontier,32,167772160,0.4846
v4-c-combined-frontier,32,167772160,0.3301
v4-c-combined-frontier,32,167772160,0.2036
v4-c-combined-frontier,32,167772160,0.1083
