variant,memory_mib,cache_misses_est,instructions_est
v4-a-reduced-critical-path,16,36700,246476977
v4-a-reduced-critical-path,16,36700,232239018
v4-a-reduced-critical-path,16,36700,323886925
v4-a-reduced-critical-path,16,36700,381743462
v4-a-reduced-critical-path,16,36700,606591173
v4-a-reduced-critical-path,16,36700,640026411
v4-b-cache-locality,16,21094,232048907
v4-b-cache-locality,16,21094,212516689
v4-b-cache-locality,16,21094,276121838
v4-b-cache-locality,16,21094,378834795
v4-b-cache-locality,16,21094,593099376
v4-b-cache-locality,16,21094,730553141
v4-c-combined-frontier,16,36792,329400613
v4-c-combined-frontier,16,36792,438067986
v4-c-combined-frontier,16,36792,463667727
v4-c-combined-frontier,16,36792,708348948
v4-c-combined-frontier,16,36792,1201072139
v4-c-combined-frontier,16,36792,1706039151
v4-a-reduced-critical-path,24,55050,368268093
v4-a-reduced-critical-path,24,55050,385115556
v4-a-reduced-critical-path,24,55050,449080909
v4-a-reduced-critical-path,24,55050,608266702
v4-a-reduced-critical-path,24,55050,979169799
v4-a-reduced-critical-path,24,55050,1155998227
v4-b-cache-locality,24,31642,327407153
v4-b-cache-locality,24,31642,364157073
v4-b-cache-locality,24,31642,434374681
v4-b-cache-locality,24,31642,612534906
v4-b-cache-locality,24,31642,945642988
v4-b-cache-locality,24,31642,1322860304
v4-c-combined-frontier,24,55188,532578294
v4-c-combined-frontier,24,55188,586783702
v4-c-combined-frontier,24,55188,769539448
v4-c-combined-frontier,24,55188,1186234275
v4-c-combined-frontier,24,55188,1884495269
v4-c-combined-frontier,24,55188,2922313013
v4-a-reduced-critical-path,32,73400,487472159
v4-a-reduced-critical-path,32,73400,495032898
v4-a-reduced-critical-path,32,73400,619035804
v4-a-reduced-critical-path,32,73400,857906999
v4-a-reduced-critical-path,32,73400,1347199097
v4-a-reduced-critical-path,32,73400,2114347353
v4-b-cache-locality,32,42189,451681590
v4-b-cache-locality,32,42189,491144064
v4-b-cache-locality,32,42189,616034791
v4-b-cache-locality,32,42189,842084578
v4-b-cache-locality,32,42189,1399819864
v4-b-cache-locality,32,42189,2111001411
v4-c-combined-frontier,32,73585,759737201
v4-c-combined-frontier,32,73585,853368825
v4-c-combined-frontier,32,73585,1068952553
v4-c-combined-frontier,32,73585,1536860365
v4-c-combined-frontier,32,73585,2576066035
v4-c-combined-frontier,32,73585,4604797265
