variant,memory_mib,threads,p50_ms,p95_ms,p99_ms,cpu_cycles,instructions_est,cache_misses_est,dram_bytes,dram_bandwidth_gbps,num_blocks
v4-a-reduced-critical-path,16,1,71.898,91.730,91.730,276054214,246476977,36700,54525952,0.7063,524288
v4-a-reduced-critical-path,16,2,70.398,77.168,77.168,260107700,232239018,36700,54525952,0.7213,524288
v4-a-reduced-critical-path,16,4,100.446,117.084,125.006,362753356,323886925,36700,54525952,0.5056,524288
v4-a-reduced-critical-path,16,8,117.423,126.157,127.834,427552678,381743462,36700,54525952,0.4325,524288
v4-a-reduced-critical-path,16,16,190.144,208.492,227.734,679382114,606591173,36700,54525952,0.2671,524288
v4-a-reduced-critical-path,16,32,190.838,284.148,307.642,716829581,640026411,36700,54525952,0.2661,524288
v4-b-cache-locality,16,1,69.161,83.366,83.366,259894775,232048907,21094,67108864,0.9037,524288
v4-b-cache-locality,16,2,64.429,73.126,73.126,238018692,212516689,21094,67108864,0.9701,524288
v4-b-cache-locality,16,4,86.102,93.711,94.100,309256459,276121838,21094,67108864,0.7259,524288
v4-b-cache-locality,16,8,114.981,123.135,126.358,424294970,378834795,21094,67108864,0.5436,524288
v4-b-cache-locality,16,16,176.154,225.546,237.758,664271301,593099376,21094,67108864,0.3548,524288
v4-b-cache-locality,16,32,187.211,382.155,425.130,818219518,730553141,21094,67108864,0.3338,524288
v4-c-combined-frontier,16,1,96.287,111.510,111.510,368928687,329400613,36792,83886080,0.8114,524288
v4-c-combined-frontier,16,2,114.373,206.816,206.816,490636145,438067986,36792,83886080,0.6831,524288
v4-c-combined-frontier,16,4,140.254,163.659,165.834,519307854,463667727,36792,83886080,0.5570,524288
v4-c-combined-frontier,16,8,215.135,230.159,230.544,793350822,708348948,36792,83886080,0.3631,524288
v4-c-combined-frontier,16,16,361.576,411.216,446.459,1345200795,1201072139,36792,83886080,0.2161,524288
v4-c-combined-frontier,16,32,501.921,720.050,742.541,1910763849,1706039151,36792,83886080,0.1557,524288
v4-a-reduced-critical-path,24,1,109.807,121.542,121.542,412460264,368268093,55050,81788928,0.6937,786432
v4-a-reduced-critical-path,24,2,115.450,128.457,128.457,431329423,385115556,55050,81788928,0.6598,786432
v4-a-reduced-critical-path,24,4,137.307,147.631,151.340,502970618,449080909,55050,81788928,0.5548,786432
v4-a-reduced-critical-path,24,8,184.106,196.761,204.037,681258706,608266702,55050,81788928,0.4137,786432
v4-a-reduced-critical-path,24,16,276.774,387.029,402.705,1096670175,979169799,55050,81788928,0.2752,786432
v4-a-reduced-critical-path,24,32,351.321,525.257,537.999,1294718014,1155998227,55050,81788928,0.2168,786432
v4-b-cache-locality,24,1,98.178,102.793,102.793,366696011,327407153,31642,100663296,0.9549,786432
v4-b-cache-locality,24,2,111.891,126.885,126.885,407855922,364157073,31642,100663296,0.8379,786432
v4-b-cache-locality,24,4,131.007,144.803,148.302,486499643,434374681,31642,100663296,0.7156,786432
v4-b-cache-locality,24,8,186.339,194.309,205.544,686039094,612534906,31642,100663296,0.5031,786432
v4-b-cache-locality,24,16,277.685,426.765,441.509,1059120147,945642988,31642,100663296,0.3376,786432
v4-b-cache-locality,24,32,429.830,561.436,591.996,1481603541,1322860304,31642,100663296,0.2181,786432
v4-c-combined-frontier,24,1,162.381,166.154,166.154,596487690,532578294,55188,125829120,0.7217,786432
v4-c-combined-frontier,24,2,176.059,196.457,196.457,657197747,586783702,55188,125829120,0.6656,786432
v4-c-combined-frontier,24,4,237.748,261.815,265.063,861884182,769539448,55188,125829120,0.4929,786432
v4-c-combined-frontier,24,8,352.419,447.387,470.189,1328582388,1186234275,55188,125829120,0.3325,786432
