vector_id,password,salt,cpu_digest_hex,cuda_digest_hex,match,status
0,v4c_gpu_vector_00,v4_gpu_correct_salt,6f93df9e45fef2b64f79c69a1a968887d434abc32d12ed640d79bb45b5fde51d,6f93df9e45fef2b64f79c69a1a968887d434abc32d12ed640d79bb45b5fde51d,true,OK
1,v4c_gpu_vector_01,v4_gpu_correct_salt,98ed415095dc1a0bb962a74cd52c9d0e96f5f242fb081b2dbbf1d80f105920ba,98ed415095dc1a0bb962a74cd52c9d0e96f5f242fb081b2dbbf1d80f105920ba,true,OK
2,v4c_gpu_vector_02,v4_gpu_correct_salt,0b91db95ac203cb50a3dfa22c4526700d936025ddc00cbdfbb6470d0b96ce5ae,0b91db95ac203cb50a3dfa22c4526700d936025ddc00cbdfbb6470d0b96ce5ae,true,OK
3,v4c_gpu_vector_03,v4_gpu_correct_salt,933651f17246d19a9254c77c3cb9f40ab8a1f5654316233b95372942bf0e9f68,933651f17246d19a9254c77c3cb9f40ab8a1f5654316233b95372942bf0e9f68,true,OK
4,v4c_gpu_vector_04,v4_gpu_correct_salt,54eedbc030ac60ae4907c1c48836edc6d3988c2cb0e3ca6c9bf60bbb9eed887d,54eedbc030ac60ae4907c1c48836edc6d3988c2cb0e3ca6c9bf60bbb9eed887d,true,OK
5,v4c_gpu_vector_05,v4_gpu_correct_salt,ab8da6f34c5f8feff3df585d5054c754ec8add06b5af3b61c9fe5409f922e1ba,ab8da6f34c5f8feff3df585d5054c754ec8add06b5af3b61c9fe5409f922e1ba,true,OK
6,v4c_gpu_vector_06,v4_gpu_correct_salt,c351a3205cfb2a00cb48422a9618a3161b81c98f4ce4f453d583ea35a4caa8f5,c351a3205cfb2a00cb48422a9618a3161b81c98f4ce4f453d583ea35a4caa8f5,true,OK
7,v4c_gpu_vector_07,v4_gpu_correct_salt,9cf77a48f98414ac33c7d10c70396328b8362c26c0eba48fe19caaa2a2b5c687,9cf77a48f98414ac33c7d10c70396328b8362c26c0eba48fe19caaa2a2b5c687,true,OK
8,v4c_gpu_vector_08,v4_gpu_correct_salt,3cec26ad29b4f97c58c509b654f68de7a69bfc99f060fd485d89d37068d21fd9,3cec26ad29b4f97c58c509b654f68de7a69bfc99f060fd485d89d37068d21fd9,true,OK
9,v4c_gpu_vector_09,v4_gpu_correct_salt,a51d60a3086cde34c7843f843639b6fff6a374c9fa23c2e4fe86ea5daf9dac2c,a51d60a3086cde34c7843f843639b6fff6a374c9fa23c2e4fe86ea5daf9dac2c,true,OK
