batch,tpb,kernel_p50_ms,kernel_p95_ms,kernel_p99_ms,total_batch_ms,guesses_per_sec,ms_per_guess,vram_mib,occupancy,regs,local_mem,shared_mem,h2d_ms,d2h_ms,memset_ms,sync_ms,finalize_ms,alloc_ms
32,16,2620.93,2621.01,2621.01,2621.08,12.2095,81.9088,1511,0.166667,60,432,0,0.06592,0.046048,0,2620.91,0.0514,1.4008
32,32,3013.72,3041.13,3041.13,3003.74,10.654,93.8667,1511,0.166667,60,432,0,0.076096,0.05488,0,3003.55,0.045,1.1768
32,64,2944.31,2964.12,2964.12,2947.62,10.8568,92.1131,1511,0.333333,60,432,0,0.085696,0.032288,0,2947.44,0.0447,1.2564
32,128,2916.61,3179.05,3179.05,2967.78,10.783,92.743,1511,0.666667,60,432,0,0.06624,0.030688,0,2967.72,0.0439,1.0803
32,256,2977.95,3001.81,3001.81,2972.7,10.7653,92.897,1511,0.666667,60,432,0,0.094016,0.04704,0,2972.5,0.0487,1.2129
64,16,2758.3,2768,2768,2755.97,23.2239,43.062,2023,0.0833333,60,432,0,0.070944,0.030272,0,2755.78,0.081,2.0831
64,32,3011.99,3032.72,3032.72,3016.16,21.221,47.1275,2023,0.166667,60,432,0,0.163008,0.033536,0,3015.87,0.0793,2.3116
64,64,3130.1,3130.26,3130.26,3130.61,20.4477,48.9158,2023,0.333333,60,432,0,0.551104,0.044256,0,3129.91,0.0885,2.1515
64,128,3128.06,3130.61,3130.61,3128.78,20.4563,48.8872,2023,0.666667,60,432,0,0.05584,0.032192,0,3128.62,0.08,2.2151
64,256,3120.16,3121,3121,3120.37,20.5119,48.7558,2023,0.666667,60,432,0,0.091424,0.057568,0,3120.16,0.0828,2.0838
128,16,2741.67,2742.09,2742.09,2742.05,46.6864,21.4223,3047,0.0833333,60,432,0,0.06672,0.126144,0,2741.68,0.1586,4.7951
128,32,3063.39,3064.94,3064.94,3063.85,41.7809,23.9363,3047,0.166667,60,432,0,0.059264,0.035456,0,3063.6,0.1524,4.8777
128,64,3183.02,3183.27,3183.27,3183.11,40.2165,24.868,3047,0.333333,60,432,0,0.0928,0.089024,0,3182.77,0.1517,4.2959
128,128,3776.52,3785.26,3785.26,3752.79,34.1104,29.3187,3047,0.666667,60,432,0,0.082368,0.029376,0,3752.52,0.1499,4.1986
128,256,3578.81,3580.42,3580.42,3579.37,35.7631,27.9639,3047,0.666667,60,432,0,0.087616,0.031456,0,3579.09,0.151,4.4191
256,16,2827.59,2829.83,2829.83,2828.59,90.5185,11.0492,5095,0.0833333,60,432,0,0.089152,0.04624,0,2828.13,0.3011,8.7522
256,32,3146.51,3147.98,3147.98,3147.15,81.3545,12.2936,5095,0.166667,60,432,0,0.092032,0.046208,0,3146.71,0.2949,8.6252
256,64,3277.62,3281.55,3281.55,3279.29,78.076,12.8097,5095,0.333333,60,432,0,0.076896,0.057984,0,3278.85,0.2964,8.7449
256,128,3712.26,3766.91,3766.91,3715.17,68.9141,14.5124,5095,0.666667,60,432,0,0.067872,0.03344,0,3714.78,0.3016,9.1329
256,256,5026.19,5114.53,5114.53,5042.77,50.7702,19.6983,5095,0.666667,60,432,0,0.084,0.062208,0,5042.31,0.3026,8.6553
