metric,value,unit,algorithm,status
guesses_per_sec,13.7397,1/s,antech_v4c_baseline,REAL
kernel_p50_ms,4656.38,ms,antech_v4c_baseline,REAL
kernel_p95_ms,4663.35,ms,antech_v4c_baseline,REAL
kernel_p99_ms,4663.35,ms,antech_v4c_baseline,REAL
vram_used_mib,2061,MiB,antech_v4c_baseline,REAL
occupancy,0.0104167,fraction,antech_v4c_baseline,REAL
registers_per_thread,48,,antech_v4c_baseline,REAL
shared_mem_bytes,0,B,antech_v4c_baseline,REAL
global_mem_traffic_est,5368709120,B,antech_v4c_baseline,EST
host_device_transfer_ms,27.9031,ms,antech_v4c_baseline,REAL
kernel_exec_ms_total,23290.2,ms,antech_v4c_baseline,REAL
threads_per_block,1,threads,antech_v4c_baseline,REAL
batch,64,guesses,antech_v4c_baseline,REAL
guesses_per_sec,32.9552,1/s,antech_v4c_optimized,REAL
kernel_p50_ms,5820.12,ms,antech_v4c_optimized,REAL
kernel_p95_ms,5870.92,ms,antech_v4c_optimized,REAL
kernel_p99_ms,5870.92,ms,antech_v4c_optimized,REAL
vram_used_mib,4109,MiB,antech_v4c_optimized,REAL
occupancy,0.333333,fraction,antech_v4c_optimized,REAL
registers_per_thread,48,,antech_v4c_optimized,REAL
shared_mem_bytes,0,B,antech_v4c_optimized,REAL
global_mem_traffic_est,16106127360,B,antech_v4c_optimized,EST
host_device_transfer_ms,95.9234,ms,antech_v4c_optimized,REAL
kernel_exec_ms_total,29130.4,ms,antech_v4c_optimized,REAL
threads_per_block,32,threads,antech_v4c_optimized,REAL
batch,192,guesses,antech_v4c_optimized,REAL
guesses_per_sec,21.152,1/s,antech_v4c_fully_optimized,REAL
kernel_p50_ms,12097.2,ms,antech_v4c_fully_optimized,REAL
kernel_p95_ms,12144.1,ms,antech_v4c_fully_optimized,REAL
kernel_p99_ms,12144.1,ms,antech_v4c_fully_optimized,REAL
vram_used_mib,5133,MiB,antech_v4c_fully_optimized,REAL
occupancy,0.833333,fraction,antech_v4c_fully_optimized,REAL
registers_per_thread,48,,antech_v4c_fully_optimized,REAL
shared_mem_bytes,0,B,antech_v4c_fully_optimized,REAL
global_mem_traffic_est,21474836480,B,antech_v4c_fully_optimized,EST
host_device_transfer_ms,117.011,ms,antech_v4c_fully_optimized,REAL
kernel_exec_ms_total,60514.3,ms,antech_v4c_fully_optimized,REAL
threads_per_block,128,threads,antech_v4c_fully_optimized,REAL
batch,256,guesses,antech_v4c_fully_optimized,REAL
guesses_per_sec,435.556,1/s,argon2id,REAL
kernel_p50_ms,220.376,ms,argon2id,REAL
kernel_p95_ms,220.559,ms,argon2id,REAL
kernel_p99_ms,220.559,ms,argon2id,REAL
vram_used_mib,7425,MiB,argon2id,REAL
host_device_transfer_ms,4.5648,ms,argon2id,REAL
batch,96,guesses,argon2id,REAL
gpu_util_pct,100,pct,antech_v4c,REAL_PEAK_SAMPLED
gpu_util_pct,100,pct,argon2id,REAL_PEAK_SAMPLED
correctness_match,10/50/100,,antech_v4c,REAL
correctness_match,10/10,,argon2id,REAL
l2_cache,,,all,NOT_SAMPLED
