memory_mib,threads,v4a_gps,v4b_gps,v4c_gps,argon2id_gps,v4a_eff,v4b_eff,v4c_eff,argon2id_eff
16,1,15.0161,14.6939,10.1585,10.3474,1.0000,1.0000,1.0000,1.0000
16,2,26.9134,27.0005,17.1614,16.1297,0.8962,0.9188,0.8447,0.7794
16,4,47.6998,47.7159,26.7580,20.9996,0.7941,0.8118,0.6585,0.5074
16,8,66.1343,68.1265,36.0777,22.6852,0.5505,0.5795,0.4439,0.2740
16,16,79.3173,78.3372,40.5566,22.9427,0.3301,0.3332,0.2495,0.1386
16,32,64.4144,71.6718,38.2726,23.6582,0.1341,0.1524,0.1177,0.0714
24,1,9.0952,8.3625,5.6469,10.3474,1.0000,1.0000,1.0000,1.0000
24,2,17.0394,18.1558,11.0666,16.1297,0.9367,1.0856,0.9799,0.7794
24,4,28.9732,29.7038,17.3763,20.9996,0.7964,0.8880,0.7693,0.5074
24,8,42.0834,42.1814,23.0650,22.6852,0.5784,0.6305,0.5106,0.2740
24,16,45.9228,47.3192,25.1750,22.9427,0.3156,0.3537,0.2786,0.1386
24,32,44.3567,42.9077,27.6639,23.6582,0.1524,0.1603,0.1531,0.0714
32,1,6.1371,7.0081,4.0835,10.3474,1.0000,1.0000,1.0000,1.0000
32,2,12.5807,12.9647,7.8021,16.1297,1.0250,0.9250,0.9553,0.7794
32,4,21.4018,21.4727,12.2035,20.9996,0.8718,0.7660,0.7471,0.5074
32,8,31.0422,30.6879,16.6871,22.6852,0.6323,0.5474,0.5108,0.2740
32,16,34.8548,35.6173,18.6155,22.9427,0.3550,0.3176,0.2849,0.1386
32,32,31.1344,30.0038,18.2184,23.6582,0.1585,0.1338,0.1394,0.0714
