variant,memory_pct,allocated_memory_mib,recomputation_factor,guesses_per_sec,digest_matches_full
v4-a-reduced-critical-path,100.00,16.00,0.9856,15.6736,true
v4-a-reduced-critical-path,75.00,12.00,15.3145,1.0087,false
v4-a-reduced-critical-path,50.00,8.00,16.7589,0.9218,false
v4-a-reduced-critical-path,25.00,4.00,16.1462,0.9567,false
v4-a-reduced-critical-path,12.50,2.00,20.0628,0.7700,false
v4-a-reduced-critical-path,6.25,1.00,22.6916,0.6808,false
v4-b-cache-locality,100.00,16.00,1.1036,12.3222,true
v4-b-cache-locality,75.00,12.00,14.4843,0.9389,false
v4-b-cache-locality,50.00,8.00,16.2879,0.8349,false
v4-b-cache-locality,25.00,4.00,15.3534,0.8857,false
v4-b-cache-locality,12.50,2.00,16.6086,0.8188,false
v4-b-cache-locality,6.25,1.00,20.2573,0.6713,false
v4-c-combined-frontier,100.00,16.00,1.0785,9.4735,true
v4-c-combined-frontier,75.00,12.00,16.3329,0.6256,false
v4-c-combined-frontier,50.00,8.00,16.4455,0.6213,false
v4-c-combined-frontier,25.00,4.00,17.3467,0.5890,false
v4-c-combined-frontier,12.50,2.00,19.0766,0.5356,false
v4-c-combined-frontier,6.25,1.00,21.7494,0.4698,false
v4-c-combined-frontier,100.00,24.00,0.9664,6.3848,true
v4-c-combined-frontier,75.00,18.00,15.4609,0.3991,false
v4-c-combined-frontier,50.00,12.00,14.5881,0.4230,false
v4-c-combined-frontier,25.00,6.00,16.4982,0.3740,false
v4-c-combined-frontier,12.50,3.00,18.9256,0.3260,false
v4-c-combined-frontier,6.25,1.50,21.3619,0.2888,false
v4-c-combined-frontier,100.00,32.00,0.9712,4.3945,true
v4-c-combined-frontier,75.00,24.00,14.7387,0.2896,false
v4-c-combined-frontier,50.00,16.00,15.2600,0.2797,false
v4-c-combined-frontier,25.00,8.00,16.4427,0.2596,false
v4-c-combined-frontier,12.50,4.00,18.2097,0.2344,false
v4-c-combined-frontier,6.25,2.00,20.7076,0.2061,false
