variant,memory_mib,concurrency_requests,ram_mb,cpu_pct,p50_latency_ms,p95_latency_ms
compute-memory-optimized,12,1,12.0,95.0,8.98,9.55
compute-memory-optimized,12,10,120.0,95.0,9.02,9.62
compute-memory-optimized,12,25,300.0,95.0,9.09,9.73
compute-memory-optimized,12,50,600.0,95.0,9.20,9.93
compute-memory-optimized,12,100,1200.0,95.0,9.42,10.31
compute-memory-optimized,12,250,3000.0,95.0,10.10,11.45
compute-memory-optimized,12,500,6000.0,95.0,11.22,13.36
compute-memory-optimized,12,1000,12000.0,95.0,13.46,17.18
compute-memory-optimized,16,1,16.0,95.0,11.75,11.98
compute-memory-optimized,16,10,160.0,95.0,11.80,12.06
compute-memory-optimized,16,25,400.0,95.0,11.89,12.21
compute-memory-optimized,16,50,800.0,95.0,12.03,12.45
compute-memory-optimized,16,100,1600.0,95.0,12.33,12.92
compute-memory-optimized,16,250,4000.0,95.0,13.21,14.36
compute-memory-optimized,16,500,8000.0,95.0,14.67,16.75
compute-memory-optimized,16,1000,16000.0,95.0,17.61,21.54
compute-memory-optimized,20,1,20.0,95.0,14.76,14.94
compute-memory-optimized,20,10,200.0,95.0,14.82,15.05
compute-memory-optimized,20,25,500.0,95.0,14.94,15.23
compute-memory-optimized,20,50,1000.0,95.0,15.12,15.53
compute-memory-optimized,20,100,2000.0,95.0,15.49,16.12
compute-memory-optimized,20,250,5000.0,95.0,16.59,17.92
compute-memory-optimized,20,500,10000.0,95.0,18.44,20.90
compute-memory-optimized,20,1000,20000.0,95.0,22.13,26.87
compute-memory-optimized,24,1,24.0,95.0,17.35,17.63
compute-memory-optimized,24,10,240.0,95.0,17.43,17.75
compute-memory-optimized,24,25,600.0,95.0,17.56,17.96
compute-memory-optimized,24,50,1200.0,95.0,17.77,18.32
compute-memory-optimized,24,100,2400.0,95.0,18.21,19.02
compute-memory-optimized,24,250,6000.0,95.0,19.51,21.13
compute-memory-optimized,24,500,12000.0,95.0,21.67,24.66
compute-memory-optimized,24,1000,24000.0,95.0,26.01,31.70
compute-memory-optimized,28,1,28.0,95.0,19.76,26.52
compute-memory-optimized,28,10,280.0,95.0,19.85,26.71
compute-memory-optimized,28,25,700.0,95.0,20.00,27.03
compute-memory-optimized,28,50,1400.0,95.0,20.25,27.56
compute-memory-optimized,28,100,2800.0,95.0,20.74,28.62
compute-memory-optimized,28,250,7000.0,95.0,22.22,31.80
compute-memory-optimized,28,500,14000.0,95.0,24.69,37.10
compute-memory-optimized,28,1000,28000.0,95.0,29.63,47.70
compute-memory-optimized,32,1,32.0,95.0,23.46,30.03
compute-memory-optimized,32,10,320.0,95.0,23.57,30.24
compute-memory-optimized,32,25,800.0,95.0,23.74,30.60
compute-memory-optimized,32,50,1600.0,95.0,24.04,31.20
compute-memory-optimized,32,100,3200.0,95.0,24.62,32.40
compute-memory-optimized,32,250,8000.0,95.0,26.38,36.00
compute-memory-optimized,32,500,16000.0,95.0,29.31,42.00
compute-memory-optimized,32,1000,32000.0,95.0,35.17,54.00
compute-memory-reference,16,1,16.0,95.0,11.93,12.34
compute-memory-reference,16,10,160.0,95.0,11.99,12.42
compute-memory-reference,16,25,400.0,95.0,12.08,12.57
compute-memory-reference,16,50,800.0,95.0,12.23,12.82
compute-memory-reference,16,100,1600.0,95.0,12.53,13.31
compute-memory-reference,16,250,4000.0,95.0,13.42,14.79
compute-memory-reference,16,500,8000.0,95.0,14.91,17.26
compute-memory-reference,16,1000,16000.0,95.0,17.89,22.19
variant-d-combined,16,1,16.0,95.0,11.65,11.93
variant-d-combined,16,10,160.0,95.0,11.71,12.02
variant-d-combined,16,25,400.0,95.0,11.79,12.16
variant-d-combined,16,50,800.0,95.0,11.94,12.40
variant-d-combined,16,100,1600.0,95.0,12.23,12.87
variant-d-combined,16,250,4000.0,95.0,13.11,14.30
variant-d-combined,16,500,8000.0,95.0,14.56,16.69
variant-d-combined,16,1000,16000.0,95.0,17.47,21.46
