variant,scenario,defender_latency_ms,degradation_pct
compute-memory-optimized,Isolated,8.80,0.00
compute-memory-optimized,CPU-Heavy Neighbor,9.15,4.00
compute-memory-optimized,Memory-Heavy Neighbor,9.41,7.00
compute-memory-optimized,Combined Noisy Neighbors,9.77,11.00
compute-memory-optimized,Isolated,11.57,0.00
compute-memory-optimized,CPU-Heavy Neighbor,12.04,4.00
compute-memory-optimized,Memory-Heavy Neighbor,12.38,7.00
compute-memory-optimized,Combined Noisy Neighbors,12.85,11.00
compute-memory-optimized,Isolated,14.82,0.00
compute-memory-optimized,CPU-Heavy Neighbor,15.41,4.00
compute-memory-optimized,Memory-Heavy Neighbor,15.86,7.00
compute-memory-optimized,Combined Noisy Neighbors,16.45,11.00
compute-memory-optimized,Isolated,17.31,0.00
compute-memory-optimized,CPU-Heavy Neighbor,18.00,4.00
compute-memory-optimized,Memory-Heavy Neighbor,18.52,7.00
compute-memory-optimized,Combined Noisy Neighbors,19.21,11.00
compute-memory-optimized,Isolated,20.74,0.00
compute-memory-optimized,CPU-Heavy Neighbor,21.57,4.00
compute-memory-optimized,Memory-Heavy Neighbor,22.19,7.00
compute-memory-optimized,Combined Noisy Neighbors,23.02,11.00
compute-memory-optimized,Isolated,22.16,0.00
compute-memory-optimized,CPU-Heavy Neighbor,23.05,4.00
compute-memory-optimized,Memory-Heavy Neighbor,23.71,7.00
compute-memory-optimized,Combined Noisy Neighbors,24.60,11.00
