suite,case_id,status,detail
concurrency,conc_1,Pass,"good=1 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_2,Pass,"good=2 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_4,Pass,"good=4 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_8,Pass,"good=8 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_16,Pass,"good=16 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_32,Pass,"good=32 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_64,Pass,"good=64 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_100,Pass,"good=100 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_250,Pass,"good=250 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_500,Pass,"good=500 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
concurrency,conc_1000,Pass,"good=1000 bad=0 idle=true st=SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
resource_failure,after_parser_error,Pass,"ok"
resource_failure,invalid_cfg_no_permit,Pass,"SchedulerStats { allocated_kib: 0, active_jobs: 0, waiting_jobs: 0 }"
resource_failure,after_overload,Pass,"rejects=56"
