suite,case_id,status,detail
memory,cfg_1024,Pass,"config accepted"
memory,derive_1024,Pass,"ref_match=true verify=true"
memory,cfg_1025,Pass,"config accepted"
memory,derive_1025,Pass,"ref_match=true verify=true"
memory,cfg_16384,Pass,"config accepted"
memory,derive_16384,Pass,"ref_match=true verify=true"
memory,cfg_24576,Pass,"config accepted"
memory,api_24576,Pass,"api verify (engine↔ref covered at ≤16MiB)"
memory,engine_ref_24576,NotApplicable,"skipped full 24/32 MiB engine↔ref walk (time); see ≤16 MiB"
memory,cfg_32768,Pass,"config accepted"
memory,api_32768,Pass,"api verify (engine↔ref covered at ≤16MiB)"
memory,engine_ref_32768,NotApplicable,"skipped full 24/32 MiB engine↔ref walk (time); see ≤16 MiB"
memory,cfg_1048575,Pass,"config accepted"
memory,api_admit_1048575,Pass,"host ResourcePolicy rejects >128 MiB"
memory,engine_skip_1048575,NotApplicable,"full 1GiB-class engine derive skipped (time/host)"
memory,cfg_1048576,Pass,"config accepted"
memory,api_admit_1048576,Pass,"host ResourcePolicy rejects >128 MiB"
memory,engine_skip_1048576,NotApplicable,"full 1GiB-class engine derive skipped (time/host)"
memory,cfg_0,Pass,"invalid rejected"
memory,cfg_1023,Pass,"invalid rejected"
memory,cfg_18446744073709551615,Pass,"invalid rejected"
memory,align_exact_64blocks,Pass,"rejected"
memory,min_mem_block32,Pass,"accepted"
memory,block_gt_memory,Pass,"rejected"
memory,block_15,Pass,"rejected"
memory,block_16,Pass,"accepted"
memory,block_17,Pass,"rejected"
block_size,min_16,Pass,"accepted"
block_size,min_16_derive,Pass,"ref match"
block_size,min_minus_1,Pass,"rejected cleanly"
block_size,min_plus_1,Pass,"rejected cleanly"
block_size,pow2_32,Pass,"accepted"
block_size,pow2_32_derive,Pass,"ref match"
block_size,pow2_64,Pass,"accepted"
block_size,pow2_64_derive,Pass,"ref match"
block_size,pow2_128,Pass,"rejected cleanly"
block_size,pow2_256,Pass,"rejected cleanly"
block_size,pow2_512,Pass,"rejected cleanly"
block_size,pow2_1024,Pass,"rejected cleanly"
block_size,non_pow2_48,Pass,"rejected cleanly"
block_size,huge_8m,Pass,"rejected cleanly"
block_size,zero,Pass,"rejected cleanly"
fan_in,min_2,Pass,"accepted"
fan_in,min_2_dig,Pass,"ref"
fan_in,min_minus_1,Pass,"rejected"
fan_in,min_plus_1,Pass,"accepted"
fan_in,min_plus_1_dig,Pass,"ref"
fan_in,max_8,Pass,"accepted"
fan_in,max_8_dig,Pass,"ref"
fan_in,max_plus_1,Pass,"rejected"
fan_in,zero,Pass,"rejected"
fan_in,huge,Pass,"rejected"
output_length,min_8,Pass,"hex_len=16"
output_length,min_plus_1,Pass,"hex_len=18"
output_length,normal_32,Pass,"hex_len=64"
output_length,max_minus_1,Pass,"hex_len=254"
output_length,max_128,Pass,"hex_len=256"
output_length,zero,Pass,"rejected"
output_length,seven,Pass,"rejected"
output_length,129,Pass,"rejected"
output_length,huge,Pass,"rejected"
