suite,case_id,status,detail
property,rand_0,Pass,"sample"
property,rand_200,Pass,"sample"
property,rand_400,Pass,"sample"
property,rand_600,Pass,"sample"
property,rand_800,Pass,"sample"
property,rand_1000,Pass,"sample"
property,rand_1200,Pass,"sample"
property,rand_1400,Pass,"sample"
property,rand_1600,Pass,"sample"
property,rand_1800,Pass,"sample"
property,invalid_cfg_no_panic,Pass,"500 invalid builds"
long_run,seq_500,Pass,"ok=500 bad=0"
serialization,CombinedFrontier_f2_o8,Pass,"roundtrip"
serialization,CombinedFrontier_f2_o32,Pass,"roundtrip"
serialization,CombinedFrontier_f2_o128,Pass,"roundtrip"
serialization,CombinedFrontier_f4_o8,Pass,"roundtrip"
serialization,CombinedFrontier_f4_o32,Pass,"roundtrip"
serialization,CombinedFrontier_f4_o128,Pass,"roundtrip"
serialization,CombinedFrontier_f8_o8,Pass,"roundtrip"
serialization,CombinedFrontier_f8_o32,Pass,"roundtrip"
serialization,CombinedFrontier_f8_o128,Pass,"roundtrip"
serialization,CacheLocality_f2_o8,Pass,"roundtrip"
serialization,CacheLocality_f2_o32,Pass,"roundtrip"
serialization,CacheLocality_f2_o128,Pass,"roundtrip"
serialization,CacheLocality_f4_o8,Pass,"roundtrip"
serialization,CacheLocality_f4_o32,Pass,"roundtrip"
serialization,CacheLocality_f4_o128,Pass,"roundtrip"
serialization,CacheLocality_f8_o8,Pass,"roundtrip"
serialization,CacheLocality_f8_o32,Pass,"roundtrip"
serialization,CacheLocality_f8_o128,Pass,"roundtrip"
serialization,ReducedCriticalPath_f2_o8,Pass,"roundtrip"
serialization,ReducedCriticalPath_f2_o32,Pass,"roundtrip"
serialization,ReducedCriticalPath_f2_o128,Pass,"roundtrip"
serialization,ReducedCriticalPath_f4_o8,Pass,"roundtrip"
serialization,ReducedCriticalPath_f4_o32,Pass,"roundtrip"
serialization,ReducedCriticalPath_f4_o128,Pass,"roundtrip"
serialization,ReducedCriticalPath_f8_o8,Pass,"roundtrip"
serialization,ReducedCriticalPath_f8_o32,Pass,"roundtrip"
serialization,ReducedCriticalPath_f8_o128,Pass,"roundtrip"
rehash,default_equal,Pass,"false"
rehash,weaker_than_policy,Pass,"true"
rehash,stronger_stored,Pass,"false"
