strategy,memory_frac,checkpoint_stride,pristine_cap,correct,gps,baseline_gps,tmto_cost_factor,nodes_recomputed,mix_pairs,scatters_replayed,est_attacker_mib,latency_ms
full_packed,1,1,32768,true,335.737588,330.805850,0.985311,0,98221,0,1.0000,2.9785
sparse_checkpoint,0.75,4,24576,false,0.000000,330.805850,1256.875000,41152512,98212,0,1.0000,inf
sparse_checkpoint,0.5,4,16384,false,0.000000,330.805850,3788.500000,124108800,98212,0,0.7500,inf
sparse_checkpoint,0.375,8,12288,false,0.000000,330.805850,4750.750000,155639808,98212,0,0.6250,inf
sparse_checkpoint,0.25,8,8192,false,0.000000,330.805850,4948.625000,162123776,98212,0,0.5000,inf
sparse_checkpoint,0.1875,16,6144,false,0.000000,330.805850,4582.750000,150134784,98212,0,0.4375,inf
sparse_checkpoint,0.125,16,4096,false,0.000000,330.805850,3776.875000,123727872,98212,0,0.3750,inf
sparse_checkpoint,0.09375,32,3072,false,0.000000,330.805850,3157.843750,103443456,98212,0,0.3438,inf
sparse_checkpoint,0.0625,32,2048,false,0.000000,330.805850,2355.062500,77137920,98212,0,0.3125,inf
sparse_checkpoint,0.03125,64,1024,false,0.000000,330.805850,1328.578125,43502080,98212,0,0.2812,inf
sparse_checkpoint,0.015625,128,512,false,0.000000,330.805850,710.414062,23246080,98212,0,0.2656,inf
