strategy,memory_frac,checkpoint_stride,pristine_cap,correct,gps,baseline_gps,tmto_cost_factor,nodes_recomputed,mix_pairs,scatters_replayed,est_attacker_mib,latency_ms
scatter_log,1,64,32768,true,179.820404,448.856613,2.496138,0,73143,50488,1.5147,5.5611
full_packed,1,1,32768,true,445.296856,448.856613,1.007994,0,73143,0,1.0000,2.2457
sparse_checkpoint,0.75,4,24576,false,0.000000,448.856613,306.625000,10014720,73138,0,1.0000,inf
sparse_checkpoint,0.5,4,16384,false,0.000000,448.856613,926.750000,30334976,73138,0,0.7500,inf
sparse_checkpoint,0.375,8,12288,false,0.000000,448.856613,1178.687500,38590464,73138,0,0.6250,inf
sparse_checkpoint,0.25,8,8192,false,0.000000,448.856613,1243.500000,40714240,73138,0,0.5000,inf
sparse_checkpoint,0.1875,16,6144,false,0.000000,448.856613,1152.062500,37718016,73138,0,0.4375,inf
sparse_checkpoint,0.125,16,4096,false,0.000000,448.856613,945.437500,30947328,73138,0,0.3750,inf
sparse_checkpoint,0.09375,32,3072,false,0.000000,448.856613,787.375000,25767936,73138,0,0.3438,inf
sparse_checkpoint,0.0625,32,2048,false,0.000000,448.856613,588.031250,19235840,73138,0,0.3125,inf
sparse_checkpoint,0.03125,64,1024,false,0.000000,448.856613,331.375000,10825728,73138,0,0.2812,inf
sparse_checkpoint,0.015625,128,512,false,0.000000,448.856613,178.203125,5806592,73138,0,0.2656,inf
