Algorithm,Target Hash Count,Batching Strategy,Actual Guesses/sec,Work Amortization Ratio,Status
Argon2id Baseline,1,Single Target,CUDA UNAVAILABLE,1.0x,CUDA UNAVAILABLE
Argon2id Baseline,10,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,100,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,1000,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,100000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,1000000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,1,Single Target,CUDA UNAVAILABLE,1.0x,CUDA UNAVAILABLE
Antech Variant K1,10,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,100,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,1000,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,100000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,1000000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,1,Single Target,CUDA UNAVAILABLE,1.0x,CUDA UNAVAILABLE
Antech Variant K2,10,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,100,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,1000,Batch Target,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,100000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,1000000,Massive Batch,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
