Algorithm,Allocated Memory %,Actual Memory (MB),Actual Guesses/sec,Recomputation Slowdown Multiplier,Status
Argon2id Baseline,100%,64 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,75%,48 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,50%,32 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,25%,16 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,12.5%,8 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Argon2id Baseline,6.25%,4 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,100%,16 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,75%,12 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,50%,8 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,25%,4 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,12.5%,2 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K1,6.25%,1 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,100%,16 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,75%,12 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,50%,8 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,25%,4 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,12.5%,2 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
Antech Variant K2,6.25%,1 MB,CUDA UNAVAILABLE,N/A,CUDA UNAVAILABLE
