candidate_id,working_set_bytes,cache_hit_pct,dram_traffic_pct,cache_locality_tier
candidate-001,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-001,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-001,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-001,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-001,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-002,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-002,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-002,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-002,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-002,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-003,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-003,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-003,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-003,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-003,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-004,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-004,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-004,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-004,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-004,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-005,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-005,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-005,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-005,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-005,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-006,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-006,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-006,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-006,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-006,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-007,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-007,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-007,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-007,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-007,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-008,67108864,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-008,33554432,10.0,90.0,DRAM Memory Bus (>16MB)
candidate-008,16777216,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-008,8388608,80.0,20.0,L3 Cache Hit (256KB-16MB)
candidate-008,4194304,80.0,20.0,L3 Cache Hit (256KB-16MB)
