candidate_id,target_hashes_count,work_amortization_factor
candidate-e1,10,1.0
candidate-e1,100,1.0
candidate-e1,1000,1.0
candidate-e1,1000000,1.0
candidate-e2,10,1.0
candidate-e2,100,1.0
candidate-e2,1000,1.0
candidate-e2,1000000,1.0
candidate-e3,10,1.0
candidate-e3,100,1.0
candidate-e3,1000,1.0
candidate-e3,1000000,1.0
candidate-e4,10,1.0
candidate-e4,100,1.0
candidate-e4,1000,1.0
candidate-e4,1000000,1.0
candidate-e5,10,1.0
candidate-e5,100,1.0
candidate-e5,1000,1.0
candidate-e5,1000000,1.0
candidate-e6,10,1.0
candidate-e6,100,1.0
candidate-e6,1000,1.0
candidate-e6,1000000,1.0
