profile_name,concurrent_requests,admitted_requests,rejected_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,wall_clock_batch_ms,system_throughput_ops_per_sec,peak_kdf_ram_mb,bounded_ram_limit_mb,resource_exhaustion_prevented
Profile A (64MB Budget),1,1,0,12.3391,12.3391,12.3391,12.6238,79.21545018140338,64,64,true
Profile A (64MB Budget),2,2,0,13.6951,13.6951,13.6951,14.0246,142.60656275401794,64,64,true
Profile A (64MB Budget),4,4,0,15.4515,16.5996,16.5996,16.9568,235.8935648235516,64,64,true
Profile A (64MB Budget),8,8,0,36.0746,41.8091,41.8091,42.1471,189.81139864901738,64,64,true
Profile A (64MB Budget),10,10,0,34.785700000000006,51.606100000000005,51.606100000000005,52.3126,191.15853541976503,64,64,true
Profile A (64MB Budget),25,25,0,72.21950000000001,109.3991,118.9868,119.8409,208.60991531271878,64,64,true
Profile A (64MB Budget),50,50,0,115.9504,215.5074,222.56380000000001,222.69469999999998,224.52263120765784,64,64,true
Profile A (64MB Budget),100,100,0,228.3346,483.1318,503.60459999999995,505.29429999999996,197.90446874227555,64,64,true
Profile A (64MB Budget),250,200,50,86.73060000000001,500.80749999999995,514.6271,906.1198,220.72136598273207,64,64,true
Profile A (64MB Budget),500,357,143,21.4012,501.0192,524.8076000000001,1708.476,208.958159201534,64,64,true
Profile A (64MB Budget),1000,696,304,21.656299999999998,501.0175,520.7712,3324.7183,209.3410440216845,64,64,true
Profile B (128MB Budget),1,1,0,12.5433,12.5433,12.5433,12.7308,78.54965909447952,128,128,true
Profile B (128MB Budget),2,2,0,14.0759,14.0759,14.0759,14.913400000000001,134.10758110155967,128,128,true
Profile B (128MB Budget),4,4,0,14.6471,15.272300000000001,15.272300000000001,16.3361,244.85648349361233,128,128,true
Profile B (128MB Budget),8,8,0,24.6875,25.991500000000002,25.991500000000002,29.1313,274.61870908610325,128,128,true
Profile B (128MB Budget),10,10,0,26.4599,44.3361,44.3361,44.9031,222.70177337422137,128,128,true
Profile B (128MB Budget),25,25,0,49.351800000000004,82.4435,90.041,90.1917,277.1873686824841,128,128,true
Profile B (128MB Budget),50,50,0,100.7585,173.083,178.1569,178.7587,279.70666602520606,128,128,true
Profile B (128MB Budget),100,100,0,195.4978,379.55060000000003,397.3271,397.7538,251.41180297963214,128,128,true
Profile B (128MB Budget),250,211,39,123.0027,502.16380000000004,523.9615,919.6115,229.444716600434,128,128,true
Profile B (128MB Budget),500,409,91,129.4142,501.2712,537.9535,1753.0157,233.3122287495771,128,128,true
Profile B (128MB Budget),1000,784,216,64.0919,502.3613,534.655,3390.6225,231.22597694081247,128,128,true
Profile C (192MB Budget),1,1,0,17.2769,17.2769,17.2769,17.5684,56.92037977277384,192,192,true
Profile C (192MB Budget),2,2,0,18.024700000000003,18.024700000000003,18.024700000000003,18.272,109.45709281961472,192,192,true
Profile C (192MB Budget),4,4,0,17.285999999999998,19.1462,19.1462,19.9457,200.54447825847174,192,192,true
Profile C (192MB Budget),8,8,0,22.6738,22.918999999999997,22.918999999999997,23.1532,345.5245927128864,192,192,true
Profile C (192MB Budget),10,10,0,29.74,34.395500000000006,34.395500000000006,34.4379,290.37775241812074,192,192,true
Profile C (192MB Budget),25,25,0,42.2323,98.4385,98.4665,98.9858,252.56147851510016,192,192,true
Profile C (192MB Budget),50,50,0,80.5206,195.3655,202.042,202.1914,247.29043866356335,192,192,true
Profile C (192MB Budget),100,100,0,67.088,388.867,404.86080000000004,405.0182,246.90248487598828,192,192,true
Profile C (192MB Budget),250,215,35,64.2052,507.8087,536.3591,875.7123,245.51442294461322,192,192,true
Profile C (192MB Budget),500,406,94,60.1185,515.1517,565.4313,1701.3945,238.62778444387823,192,192,true
Profile C (192MB Budget),1000,781,219,59.2692,515.3006999999999,560.217,3228.9424000000004,241.87486280337487,192,192,true
