algorithm,version,parameters,cpu,cores,ram_gib,os,iterations,warmup_iterations,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,peak_ram_bytes,avg_ram_bytes,memory_bytes_read,memory_bytes_written
scrypt,0.11.0,"N=1024,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,1.9393,1.9393,2.104,2.104,1.8591,2.104,0,0,2097152,2097152
scrypt,0.11.0,"N=1024,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,3.5029000000000003,3.5029000000000003,3.6616,3.6616,3.4768,3.6616,0,0,2097152,2097152
scrypt,0.11.0,"N=1024,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,3.5761,3.5761,4.0662,4.0662,3.5193999999999996,4.0662,0,0,4194304,4194304
scrypt,0.11.0,"N=1024,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,6.7372,6.7372,7.0332,7.0332,6.6547,7.0332,0,0,4194304,4194304
scrypt,0.11.0,"N=4096,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,7.7688999999999995,7.7688999999999995,8.6592,8.6592,7.2657,8.6592,0,0,8388608,8388608
scrypt,0.11.0,"N=4096,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,14.908,14.908,15.4325,15.4325,14.072799999999999,15.4325,0,0,8388608,8388608
scrypt,0.11.0,"N=4096,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,15.2736,15.2736,15.5218,15.5218,15.046199999999999,15.5218,0,0,16777216,16777216
scrypt,0.11.0,"N=4096,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,29.1347,29.1347,29.9363,29.9363,28.6188,29.9363,0,0,16777216,16777216
scrypt,0.11.0,"N=16384,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,31.2429,31.2429,31.520899999999997,31.520899999999997,30.2707,31.520899999999997,0,0,33554432,33554432
scrypt,0.11.0,"N=16384,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,59.1734,59.1734,59.4139,59.4139,58.2583,59.4139,0,0,33554432,33554432
scrypt,0.11.0,"N=16384,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,61.784600000000005,61.784600000000005,62.58519999999999,62.58519999999999,60.3616,62.58519999999999,0,0,67108864,67108864
scrypt,0.11.0,"N=16384,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,119.3188,119.3188,119.36869999999999,119.36869999999999,118.2612,119.36869999999999,0,0,67108864,67108864
scrypt,0.11.0,"N=65536,r=8,p=1",Host CPU (12 logical cores),12,32,windows,3,1,126.5286,126.5286,128.0147,128.0147,125.999,128.0147,0,0,134217728,134217728
scrypt,0.11.0,"N=65536,r=8,p=2",Host CPU (12 logical cores),12,32,windows,3,1,244.4768,244.4768,257.61990000000003,257.61990000000003,244.2808,257.61990000000003,0,0,134217728,134217728
scrypt,0.11.0,"N=65536,r=16,p=1",Host CPU (12 logical cores),12,32,windows,3,1,248.63309999999998,248.63309999999998,253.06669999999997,253.06669999999997,247.70809999999997,253.06669999999997,0,0,268435456,268435456
scrypt,0.11.0,"N=65536,r=16,p=2",Host CPU (12 logical cores),12,32,windows,3,1,491.2068,491.2068,507.14380000000006,507.14380000000006,482.7203,507.14380000000006,0,0,268435456,268435456
