test_id,path,group_a,group_b,memory_kib,n_a,n_b,median_a_ns,median_b_ns,mean_a_ns,mean_b_ns,var_a_ns2,var_b_ns2,p95_a_ns,p95_b_ns,p99_a_ns,p99_b_ns,ratio_median,welch_t,significant,kind,exploitability,notes
T01_verify_correct_vs_wrong,verify,correct_password,wrong_password,1024,40,40,2283606.0,2282559.0,2286150.2,2291506.9,190783742.8307692,1234262618.3487182,2316789.0,2330796.0,2327567.0,2488557.0,1.0004586957007464,0.8974552933596209,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T03_hash_password_length,hash,len_4,len_256,1024,40,40,2764258.0,2764925.0,2759620.975,2773167.425,295707751.4096154,2263650939.378846,2778760.0,2820525.0,2792618.0,2999901.0,0.9997587638001031,1.6935183861264533,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T04_verify_correct_vs_wrong_same_salt,verify,correct_password,wrong_password,1024,40,40,2280988.0,2282324.0,2281376.725,2283722.275,25669310.512179486,74654432.56346154,2290988.0,2293198.0,2292642.0,2317852.0,0.999414631752547,1.481060594832719,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T05_verify_secret_value,verify_with_inputs,correct_secret,wrong_secret,1024,40,40,2287305.0,2281302.0,2293009.475,2280724.575,666249820.2557691,39364273.37884615,2321630.0,2290842.0,2439426.0,2297423.0,1.0026313920734737,2.9249469792175598,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T06_verify_associated_data,verify_with_inputs,correct_ad,wrong_ad,1024,40,40,2283923.0,2281962.0,2284216.85,2283600.725,36202853.2076923,180208274.9224359,2291320.0,2294376.0,2296137.0,2344864.0,1.000859348227534,0.2648860165718989,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T07_malformed_hash_vs_valid,verify/parse,valid_hash_full_derive,malformed_string,1024,50,400,2284431.0,61.00000000000001,2286784.82,62.1775,121406643.37510203,53.4095175438596,2318842.0,81.0,2324988.0,85.0,37449.68852459016,1467.497115514556,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T08_truncated_hash_vs_valid,verify/parse,valid_hash,truncated_v2,1024,50,400,2280336.0,101.0,2283912.52,114.535,268647325.15265304,1626.2694486215537,2296772.0,251.99999999999997,2365688.0,264.0,22577.58415841584,985.2609333878305,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T09_missing_secret_vs_wrong_password,verify/input_check,MissingSecret_Err,wrong_password_full_derive,1024,400,10,932.0,2287755.0,1010.2275,2289478.2,49639.0734273183,30391141.511111107,1484.0,2299997.0,1624.0,2299997.0,0.0004073862804364978,1312.6908731297206,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T10_ad_length_mismatch_vs_wrong_password,verify/input_check,AssociatedDataLengthMismatch,wrong_password_full_derive,1024,400,10,981.0,2288515.0,1019.805,2294473.7,19716.082180451125,231295446.45555556,1507.0,2328091.0,1547.0,2328091.0,0.0004286622547809387,476.8765971322785,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T11_graph_variants,derive,CombinedFrontier_32B,n/a,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,n/a,NOT_APPLICABLE,none,Production default is CombinedFrontier @ 32B; other graphs are separate code paths not in default params.
