test_id,path,group_a,group_b,memory_kib,n_a,n_b,median_a_ns,median_b_ns,mean_a_ns,mean_b_ns,var_a_ns2,var_b_ns2,p95_a_ns,p95_b_ns,p99_a_ns,p99_b_ns,ratio_median,welch_t,significant,kind,exploitability,notes
T01_verify_correct_vs_wrong,verify,correct_password,wrong_password,1024,80,80,3377700.0,3385400.0,3762810.0,3818335.0,730888160911.3925,728589790151.8987,5451400.0,5817600.0,6749800.0,6198600.0,0.9977255272641342,0.4110879924406478,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T02_verify_correct_vs_wrong_16mib,verify,correct_password,wrong_password,16384,40,40,138477300.0,138351300.0,154200200.0,141673997.5,696988519496410.2,111313903055121.8,199465200.0,170576500.0,220220800.0,185716100.0,1.0009107250889584,2.7865220481599984,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T03_hash_password_length,hash,len_4,len_256,1024,80,80,3279900.0,3293700.0,3358690.0,3408197.5,53216706987.34178,64227304550.63293,3736200.0,3917300.0000000005,3976300.0000000005,4364000.0,0.9958101830767829,1.2921131641262105,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T04_verify_correct_vs_wrong_same_salt,verify,correct_password,wrong_password,1024,80,80,3296000.0,3314100.0,3447026.25,3390990.0,162675506011.07596,35672223949.36709,4033400.0000000005,3674500.0,4305400.0,3773700.0,0.9945384870703962,1.1253832332752516,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T05_verify_secret_value,verify_with_inputs,correct_secret,wrong_secret,1024,80,80,3310100.0,3285800.0,3405171.25,3351523.75,62947773213.6076,43534257783.22785,4041399.9999999995,3553000.0,4233400.0,3863000.0,1.0073954592488892,1.470470508775037,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T06_verify_associated_data,verify_with_inputs,correct_ad,wrong_ad,1024,80,80,3304200.0,3286100.0,3390357.5,3377853.75,41556658170.886086,44000786568.03797,3859800.0,3712400.0,4159500.0,4095100.0,1.005508049055111,0.3823458428607216,no,MEASURED,none,Full derive expected for both; ratio~1 and low Welch t => no early password reject.
T07_malformed_hash_vs_valid,verify/parse,valid_hash_full_derive,malformed_string,1024,100,800,3310900.0,100.0,3383736.0,149.25,27966124549.49495,3228.473091364205,3758100.0,200.0,3891900.0,300.0,33109.0,202.33041333328617,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T08_truncated_hash_vs_valid,verify/parse,valid_hash,truncated_v2,1024,100,800,3310800.0,200.0,3369476.0,185.625,43891960832.323235,1657.9317897371714,3505400.0,200.0,4299300.0,300.0,16554.0,160.82218147329343,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T09_missing_secret_vs_wrong_password,verify/input_check,MissingSecret_Err,wrong_password_full_derive,1024,800,20,1900.0,3277100.0,1864.25,3306080.0,34164.643304130164,3864863789.4736843,1900.0,3433600.0,2300.0,3494300.0,0.0005797809038479143,237.6929225603361,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T10_ad_length_mismatch_vs_wrong_password,verify/input_check,AssociatedDataLengthMismatch,wrong_password_full_derive,1024,800,20,1400.0,3339300.0,1394.75,3673165.0,500347.87234042556,231424881342.10522,1400.0,4332800.0,1600.0,4729000.0,0.0004192495433174617,34.133864483207525,yes_fast_path,MEASURED,expected_fast_reject_not_password_content,Fast-path timing difference expected for invalid input classes.
T11_graph_variants,derive,CombinedFrontier_32B,n/a,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,n/a,NOT_APPLICABLE,none,Production default is CombinedFrontier @ 32B; other graphs are separate code paths not in default params.
