scenario,duration_secs,concurrency,memory_kib_cfg,ops_total,hashes,verify_valid_ok,verify_wrong_ok,rejected_resource,expected_input_errors,unexpected_errors,panics,throughput_ops_per_sec,latency_samples,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,peak_active_permits,peak_queue_depth,peak_allocated_kib,peak_rss_bytes,cpu_usage_pct,final_active_permits,final_queue_depth,final_allocated_kib,scheduler_idle,budget_ok,queue_limit_ok,notes
mixed_70_20_10,10,1,16384,106,10,76,20,0,0,0,0,10.539699,106,93.438,100.292,123.024,94.858,158.515,1,0,16384,22425600,8.30,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=1 peak_q=0 rejects=0"
mixed_70_20_10,10,10,16384,418,42,292,84,0,0,0,0,41.134636,418,218.077,373.990,451.767,241.202,598.142,8,2,131072,130400256,65.25,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=2 rejects=0"
mixed_70_20_10,10,32,16384,448,45,318,85,0,0,0,0,41.843761,448,727.653,1952.088,3062.390,741.045,4203.475,8,24,131072,126660608,65.50,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=24 rejects=0"
mixed_70_20_10,10,100,16384,513,50,367,96,0,0,0,0,41.584738,513,2363.519,6684.366,8983.539,2179.856,11168.552,8,92,131072,130854912,65.60,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=92 rejects=0"
mixed_70_20_10,10,250,16384,662,69,450,143,0,0,0,0,41.628075,662,5900.794,11796.300,14650.723,4898.444,15812.380,8,242,131072,129130496,65.58,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=242 rejects=0"
mixed_70_20_10,10,500,16384,21294623,26,194,61,21294342,0,0,0,1291392.312451,250000,0.002,0.017,0.034,0.011,12.888,8,256,131072,124076032,84.50,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=256 rejects=21294342"
mixed_70_20_10,10,1000,16384,21465851,29,193,57,21465572,0,0,0,1307029.338549,250000,0.002,0.014,0.030,0.007,22.771,8,256,131072,141193216,85.07,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=256 rejects=21465572"
mixed_70_20_10,30,1,16384,318,31,224,63,0,0,0,0,10.588425,318,94.000,97.119,105.354,94.438,128.468,1,0,16384,23240704,8.35,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=1 peak_q=0 rejects=0"
mixed_70_20_10,30,10,16384,1254,124,881,249,0,0,0,0,41.542327,1254,210.707,390.191,480.685,240.137,819.871,8,2,131072,132374528,65.74,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=2 rejects=0"
mixed_70_20_10,30,32,16384,1290,127,910,253,0,0,0,0,42.010297,1290,732.021,2425.805,3085.702,753.346,5865.562,8,24,131072,125693952,66.12,0,0,0,true,true,true,"production AntechConfig::default(); peak_active=8 peak_q=24 rejects=0"
